BOTTLE,20212210JOAExport
# Exported from JOA (5.5.0 Final September 29th, 2020) on 2021/03/09 16:22:29
#BOTTLE,20190412JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.5.0 Final April 23rd, 2019) on 2019/07/12 12:04:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20030516WHPSIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: May 16,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: a01why.txt   Fri May 16 13:35:56 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: a01wsu.txt   Thu Mar 20 09:30:00 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
   18HU95011_1,    A01W,      2,   1,  155227,     -99,  2,19950611,1113,  53.3900,  -55.1193,   198,   10.000,   0.1812,  31.5695,2,  31.7392,6,    289.9,1,    393.6,2,     1.13,6,     0.12,6, -999.000,9,     0.48,6,    5.859,6,    2.967,6, -999.000,9,   1971.3,2, 2139.000,2
   18HU95011_1,    A01W,      2,   1,  155226,     -99,  2,19950611,1113,  53.3900,  -55.1193,   198,   70.400,  -1.6895,  32.8709,2,  32.9258,2,    265.9,1,    327.4,6,    11.65,6,     8.33,6, -999.000,9,     1.04,6,    5.325,2,    2.454,2, -999.000,9,   2124.6,2, 2211.200,2
   18HU95011_1,    A01W,      2,   1,  155225,     -99,  2,19950611,1113,  53.3900,  -55.1193,   198,  130.900,  -1.3868,  33.1953,2,  33.2028,2,    257.4,1,    321.5,2,    12.13,6,     9.42,6, -999.000,9,     1.04,6,    5.065,2,    2.353,2, -999.000,9,   2126.3,6, 2213.900,2
   18HU95011_1,    A01W,      2,   1,  155224,     -99,  2,19950611,1113,  53.3900,  -55.1193,   198,  182.000,  -1.0044,  33.4883,2,  33.4482,2,    250.8,1,    320.1,2,    11.28,6,    10.09,6, -999.000,9,     1.04,6,    5.022,2,    2.430,2, -999.000,9,   2125.4,2, 2218.300,6
   18HU95011_1,    A01W,      3,   1,  155234,     -99,  2,19950611,1337,  53.6663,  -55.0805,   284,    9.800,   0.8967,  32.0467,2,  32.0464,2,    260.2,1,    384.0,2,     1.04,6,     0.00,6, -999.000,9,     0.49,6,    5.787,2,    3.567,2, -999.000,9,   1995.3,2, 2160.400,2
   18HU95011_1,    A01W,      3,   1,  155233,     -99,  2,19950611,1337,  53.6663,  -55.0805,   284,   49.500,  -1.5742,  32.8046,2,  32.8038,2,    252.1,1,    332.5,2,    11.21,6,     7.98,6, -999.000,9,     1.03,6,    5.418,6,    2.983,6, -999.000,9,   2117.7,2, 2199.600,2
   18HU95011_1,    A01W,      3,   1,  155232,     -99,  2,19950611,1337,  53.6663,  -55.0805,   284,   99.800,  -1.4487,  33.0811,2,  33.0845,2,    242.9,1,    325.3,2,    11.52,6,     8.99,6, -999.000,9,     1.04,6,    5.131,2,    3.208,2, -999.000,9,   2121.9,6, 2215.200,2
   18HU95011_1,    A01W,      3,   1,  155231,     -99,  2,19950611,1337,  53.6663,  -55.0805,   284,  150.600,  -1.0857,  33.4897,2,  33.5315,2,    237.0,1,    320.7,6,    10.52,6,    10.27,6, -999.000,9,     1.02,6,    5.053,2,    3.185,2, -999.000,9,   2124.6,2, 2222.200,2
   18HU95011_1,    A01W,      3,   1,  155230,     -99,  2,19950611,1337,  53.6663,  -55.0805,   284,  201.000,  -0.4819,  33.7534,2,  33.7561,2,    230.2,1,    314.8,2,    11.02,6,    11.36,6, -999.000,9,     1.01,6,    4.869,2,    3.180,2, -999.000,9,   2127.4,2, -999.000,3
   18HU95011_1,    A01W,      3,   1,  155229,     -99,  2,19950611,1337,  53.6663,  -55.0805,   284,  251.800,   0.0521,  33.9265,2,  33.9140,2,    223.4,1,    309.5,2,    11.92,6,    12.35,6, -999.000,9,     1.02,6,    4.771,2,    3.107,2, -999.000,9,   2130.1,2, 2229.500,2
   18HU95011_1,    A01W,      3,   1,  155228,     -99,  2,19950611,1337,  53.6663,  -55.0805,   284,  272.100,   0.6424,  34.1172,2,  34.1117,6,    219.4,1,    304.3,2,    12.16,6,    13.00,6, -999.000,9,     1.02,6,    4.668,2,    3.047,2, -999.000,9,   2134.7,2, 2241.500,2
   18HU95011_1,    A01W,      4,   1,  155238,     -99,  2,19950611,1538,  53.9350,  -55.0683,   156,   19.000,  -0.4289,  31.7162,2,  31.7213,2,    277.3,1,    403.1,2,     0.93,6,     0.00,6, -999.000,9,     0.51,6,    5.955,2,    2.978,2, -999.000,9,   1968.8,6, 2143.000,2
