BOTTLE,20215020JOAExport
# Exported from JOA (5.5.0 Final November 30th, 2020) on 2021/01/20 13:50:06
#BOTTLE,20020131WHPSIOKJU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: 20020130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: ar07eahy.txt   Fri Mar 23 14:25:13 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: ar07easu.txt   Fri Mar 23 14:24:20 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,    AR7E,     33,   1,-999.0,     706,  2,19900712,2246,  60.2083,  -33.7117,  2620,    4.000,    8.351,   34.873,2,   34.872,2,  297.800,2, -999.000,9,    1.530,2,    8.790,2,    0.130,2,    0.640,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     707,  2,19900712,2246,  60.2083,  -33.7117,  2620,  101.000,    5.252,   34.977,2, -999.000,9,  281.500,2,  283.700,2,    9.000,2,   16.460,2,    0.060,2,    1.140,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     708,  2,19900712,2246,  60.2083,  -33.7117,  2620,  203.000,    4.784,   34.961,2,   34.963,2,  284.200,2, -999.000,9,    9.320,2,   16.740,2,    0.020,2,    1.150,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     709,  2,19900712,2246,  60.2083,  -33.7117,  2620,  302.000,    4.448,   34.940,2, -999.000,9,  281.100,2,  280.300,2,    9.520,2,   17.170,2,    0.020,2,    1.160,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     710,  2,19900712,2246,  60.2083,  -33.7117,  2620,  402.000,    4.193,   34.926,2,   34.926,2,  285.100,2, -999.000,9,    9.510,2,   17.100,2,    0.020,2,    1.170,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     711,  2,19900712,2246,  60.2083,  -33.7117,  2620,  501.000,    3.939,   34.907,2, -999.000,9,  283.200,2,  283.300,2,    9.800,2,   16.970,2,    0.060,2,    1.160,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     712,  2,19900712,2246,  60.2083,  -33.7117,  2620,  756.000,    3.480,   34.873,2,   34.874,2,  292.200,2, -999.000,9,    9.450,2,   16.780,2,    0.030,2,    1.150,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     713,  2,19900712,2246,  60.2083,  -33.7117,  2620, 1009.000,    3.337,   34.864,2, -999.000,9,  293.100,2,  295.500,2,    9.540,2,   16.760,2,    0.020,2,    1.150,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     714,  2,19900712,2246,  60.2083,  -33.7117,  2620, 1265.000,    3.309,   34.870,2,   34.867,2,  287.900,2, -999.000,9,   10.030,2,   16.800,2,    0.010,2,    1.160,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     715,  2,19900712,2246,  60.2083,  -33.7117,  2620, 1452.000,    3.218,   34.859,2, -999.000,9,  289.600,2,  292.200,2,    9.820,2,   16.720,2,    0.030,2,    1.160,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     716,  2,19900712,2246,  60.2083,  -33.7117,  2620, 1550.000,    3.176,   34.856,2,   34.857,2,  289.800,2, -999.000,9,    9.940,2,   16.890,2,    0.010,2,    1.150,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     717,  2,19900712,2246,  60.2083,  -33.7117,  2620, 1654.000,    3.235,   34.870,2, -999.000,9,  287.300,2,  288.400,2,   10.160,2,   16.690,2,    0.030,2,    1.160,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     718,  2,19900712,2246,  60.2083,  -33.7117,  2620, 1755.000,    3.339,   34.895,2,   34.894,2,  281.500,2, -999.000,9,   10.740,2,   16.780,2,    0.020,2,    1.190,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    AR7E,     33,   1,-999.0,     719,  2,19900712,2246,  60.2083,  -33.7117,  2620, 1859.000,    3.419,   34.922,2, -999.000,9,  275.400,2,  276.300,2,   11.070,2,   16.830,2,    0.010,2,    1.170,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
