BOTTLE,20211509JOAExport
# Exported from JOA (5.5.0 Final September 29th, 2020) on 2021/01/08 21:15:16
#BOTTLE,20150216PRINUNIVRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5/11/05 Initialized README file  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data from Kozyr via CARINA web site 5/11/04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stations 1-44 are the same as WOCE AR07Eb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ship: Tyro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: 64TY9104 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dates: 4/12 - 5/15/1991 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 64TR19910408 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region: AR07Eb and Irminger Sea ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist -H.M. van Aken ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 141 stations with 24 place Rosette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hydro: Who - van Aken; Status - ???;  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: This data is a superset of the WHPO file (records and parameters) for AR07Eb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See van Aken and De Boer,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pressure estimated from depth (may have really been pressure) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nuts/O2: Who - van Aken; Status - ??? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: Phosphate data quite noisy. Additional 1st QC 2/2015 RMK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TCO2: Who - Stoll/de Baar; Status - ??? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: See Stoll et al, 1996a,b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Coulometric analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See Perez et al. 2008. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TA: WWho - Stoll/de Baar; Status - ??? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes: See Stoll et al 1996a,b ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Titration (manual?);Calibration ?? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data not included in WHPO file or CARINA file ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# References: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stoll, M.H.C., H.M. van Aken, H.J.W. de Baar and  C.J. de Boer, Meridional carbon dioxide transport in the northern North Atlantic Ocean, Mar. Chem.,55, 205-216, 1996a. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stoll, M.H.C.,  H.M. van Aken, H.J.W. de Baar and M. Kraak, Carbon dioxide characteristics of water masses in the northern North Atlantic Ocean, Mar. Chem.,55, 217-232, 1996b. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# van Aken, H.M. and C.J. De Boer, On the synoptic hydrography of intermediate annd deep water masses in the Iceland Basin, Deep Sea Res. I, 42(2), 165-189,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Perez, F.F., M. Vazquez-Rodriguez, E. Louarn, X.A. Padin, H. Mercier and A.F. Rios, Temporal variability of the anthropogenic CO2 storage in the Irminger Sea, Biogeosci,4, 1-11,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,  AR07Eb,     43,   1,       1,       1,  2,19910422,0000,  59.7833,  -40.7430,  2476,     10.0,   4.4099, -999.000,9,  34.9313,2, -999.000,9,    315.9,2,     8.25,2,    13.80,2,     0.11,2,     1.05,2, -999.000,9, -999.000,9, -999.000,9,   2124.2,2, -999.000,9
           NA,  AR07Eb,     43,   1,       2,       2,  2,19910422,0000,  59.7833,  -40.7430,  2476,    101.9,   4.2754, -999.000,9,  34.9301,2, -999.000,9,    309.3,2,     8.27,2,    14.45,2,     0.07,2,     1.07,2, -999.000,9, -999.000,9, -999.000,9,   2130.1,2, -999.000,9
           NA,  AR07Eb,     43,   1,       3,       3,  2,19910422,0000,  59.7833,  -40.7430,  2476,    205.7,   4.1771, -999.000,9,  34.9386,2, -999.000,9,    300.5,2,     8.48,2,    15.12,2,     0.08,2,     1.14,2, -999.000,9, -999.000,9, -999.000,9,   2134.2,2, -999.000,9
           NA,  AR07Eb,     43,   1,       4,       4,  2,19910422,0000,  59.7833,  -40.7430,  2476,    302.6,   4.0820, -999.000,9,  34.9383,2, -999.000,9,    296.8,2,     8.68,2,    16.03,2,     0.03,2,     1.16,2, -999.000,9, -999.000,9, -999.000,9,   2139.3,2, -999.000,9
           NA,  AR07Eb,     43,   1,       5,       5,  2,19910422,0000,  59.7833,  -40.7430,  2476,    402.5,   3.8569, -999.000,9,  34.9165,2, -999.000,9,    294.8,2,     9.03,2,    16.50,2,     0.00,2,     1.20,2, -999.000,9, -999.000,9, -999.000,9,   2140.7,2, -999.000,9
           NA,  AR07Eb,     43,   1,       6,       6,  2,19910422,0000,  59.7833,  -40.7430,  2476,    512.4,   3.6480, -999.000,9,  34.9010,2, -999.000,9,    295.4,2,     9.30,2,    16.73,2,     0.12,2,     1.20,2, -999.000,9, -999.000,9, -999.000,9,   2143.2,2, -999.000,9
           NA,  AR07Eb,     43,   1,       7,       7,  2,19910422,0000,  59.7833,  -40.7430,  2476,    705.1,   3.4580, -999.000,9,  34.8828,2, -999.000,9,    298.2,2,     9.29,2,    16.43,2,     0.10,2,     1.19,2, -999.000,9, -999.000,9, -999.000,9,   2138.9,2, -999.000,9
           NA,  AR07Eb,     43,   1,       8,       8,  2,19910422,0000,  59.7833,  -40.7430,  2476,    910.9,   3.3641, -999.000,9,  34.8759,2, -999.000,9,    296.1,2,     9.51,2,    16.60,2,     0.10,2,     1.20,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9, -999.000,9
           NA,  AR07Eb,     43,   1,       9,       9,  2,19910422,0000,  59.7833,  -40.7430,  2476,   1112.5,   3.2484, -999.000,9,  34.8657,2, -999.000,9,    297.9,2,     9.57,2,  -999.00,9,     0.16,2,     1.13,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,3, -999.000,9
           NA,  AR07Eb,     43,   1,      10,      10,  2,19910422,0000,  59.7833,  -40.7430,  2476,   1315.2,   3.1620, -999.000,9,  34.8578,2, -999.000,9,    294.1,2,     9.69,2,    16.77,2,     0.00,2,     1.21,2, -999.000,9, -999.000,9, -999.000,9,   2141.5,2, -999.000,9
           NA,  AR07Eb,     43,   1,      11,      11,  2,19910422,0000,  59.7833,  -40.7430,  2476,   1389.1,   3.1353, -999.000,9,  34.8570,2, -999.000,9,    292.9,2,     9.80,2,    16.48,2,     0.00,2,  -999.00,9, -999.000,9, -999.000,9, -999.000,9,   2140.7,2, -999.000,9
           NA,  AR07Eb,     43,   1,      12,      12,  2,19910422,0000,  59.7833,  -40.7430,  2476,   1467.1,   3.1885, -999.000,9,  34.8694,2, -999.000,9,    289.4,2,    10.10,2,    16.83,2,     0.00,2,     1.21,2, -999.000,9, -999.000,9, -999.000,9,   2145.7,2, -999.000,9
           NA,  AR07Eb,     43,   1,      13,      13,  2,19910422,0000,  59.7833,  -40.7430,  2476,   1563.0,   3.2367, -999.000,9,  34.8839,2, -999.000,9,    286.0,2,    10.34,2,    16.84,2,     0.01,2,     1.20,2, -999.000,9, -999.000,9, -999.000,9,   2141.1,2, -999.000,9
           NA,  AR07Eb,     43,   1,      14,      14,  2,19910422,0000,  59.7833,  -40.7430,  2476,   1667.9,   3.2298, -999.000,9,  34.8953,2, -999.000,9,    283.0,2,    10.56,2,    16.83,2,     0.01,2,     1.18,2, -999.000,9, -999.000,9, -999.000,9,   2145.8,2, -999.000,9
