BOTTLE,20191227JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20020919WHPSIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
      06MT18_1,  A01E,558,1,12,    B44,2,19910905,1346,60,-42.5067,185,7.9,6.7531,34.7076,2,34.709,2,301.9,2,2.34,2,6.54,4,0.16,4,0.6,4,-999,9,-999,9,2086.3,2,-999,9
      06MT18_1,  A01E,558,1,13,    B42,2,19910905,1346,60,-42.5067,185,8,6.7531,34.7065,2,34.709,2,301.4,2,2.54,2,6.54,4,0.17,4,0.57,4,-999,9,-999,9,2087.5,2,-999,9
      06MT18_1,  A01E,558,1,11,    B46,2,19910905,1346,60,-42.5067,185,8.5,6.7571,34.7066,2,34.709,2,302.4,2,2.34,2,6.54,4,0.16,4,0.6,4,-999,9,-999,9,2086.5,2,-999,9
      06MT18_1,  A01E,558,1,14,     K7,2,19910905,1346,60,-42.5067,185,8.7,6.7511,34.7059,2,34.709,2,301.6,2,2.54,2,6.54,4,0.16,4,0.58,4,-999,9,-999,9,2087.8,2,-999,9
      06MT18_1,  A01E,558,1,10,    B45,2,19910905,1346,60,-42.5067,185,26.9,6.2526,34.6606,2,34.665,2,302.9,2,2.73,2,7.23,4,0.18,4,0.63,4,4.464,2,2.117,2,2091.5,2,2354,2
      06MT18_1,  A01E,558,1,9,    B52,2,19910905,1346,60,-42.5067,185,46.7,5.6971,34.5841,2,34.578,2,305.6,2,3.13,2,7.52,4,0.19,4,0.67,4,4.574,2,2.164,2,2093.2,2,2334,2
      06MT18_1,  A01E,558,1,8,    B40,2,19910905,1346,60,-42.5067,185,66,5.2315,34.5157,2,34.514,2,307.4,2,3.42,2,7.81,4,0.2,4,0.69,4,4.66,2,2.19,2,2095.7,2,2332,2
      06MT18_1,  A01E,558,1,7,    B48,2,19910905,1346,60,-42.5067,185,85.5,3.526,34.3883,2,34.384,2,310.8,2,4.98,2,9.96,4,0.23,4,0.87,4,4.909,2,2.281,2,2109.4,2,2330,2
      06MT18_1,  A01E,558,1,6,    B49,2,19910905,1346,60,-42.5067,185,98.5,3.2192,34.3987,2,34.399,2,309.8,2,5.27,2,10.84,4,0.23,4,0.93,4,-999,9,-999,9,2114.1,2,2346,2
      06MT18_1,  A01E,558,1,5,    B51,2,19910905,1346,60,-42.5067,185,110.6,3.3641,34.4548,2,34.456,2,304.1,2,6.06,2,11.72,4,0.24,4,0.99,4,4.896,2,2.277,2,2121,2,-999,9
      06MT18_1,  A01E,558,1,4,    K30,2,19910905,1346,60,-42.5067,185,131.2,3.3951,34.4927,2,34.494,2,301.8,2,6.35,2,12.4,4,0.23,4,1.02,4,-999,9,-999,9,2123.4,2,-999,9
      06MT18_1,  A01E,558,1,3,    B47,2,19910905,1346,60,-42.5067,185,150.9,3.4011,34.5093,2,34.512,2,300.5,2,6.54,2,12.7,4,0.22,4,1.05,4,4.834,2,2.256,2,2124.2,2,-999,9
      06MT18_1,  A01E,558,1,2,    B50,4,19910905,1346,60,-42.5067,185,170.7,-999,-999,9,34.562,2,297.6,2,7.23,2,13.48,4,0.19,4,1.08,4,-999,9,-999,9,-999,9,2346,2
      06MT18_1,  A01E,558,1,1,    K31,2,19910905,1346,60,-42.5067,185,170.7,3.503,34.5613,2,34.562,2,297.6,2,7.23,2,13.58,4,0.19,4,1.07,4,4.773,2,2.231,2,2129.4,2,-999,9
      06MT18_1,  A01E,559,1,15,    K15,2,19910905,1607,59.9667,-42.175,504,8.3,7.949,34.9221,2,34.922,2,290.6,2,2.25,2,6.44,4,0.15,4,0.53,4,4.065,2,1.969,2,-999,9,-999,9
      06MT18_1,  A01E,559,1,17,     K4,2,19910905,1607,59.9667,-42.175,504,8.3,7.9739,34.9188,2,-999,9,291.7,2,2.44,2,6.25,4,0.15,4,0.52,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,18,    B34,2,19910905,1607,59.9667,-42.175,504,8.3,7.946,34.9208,2,-999,9,292.1,2,2.54,2,6.35,4,0.15,4,0.51,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,16,    B39,2,19910905,1607,59.9667,-42.175,504,8.4,7.9739,34.9175,2,34.922,2,291,2,2.25,2,6.35,4,0.15,4,0.52,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,14,     K7,2,19910905,1607,59.9667,-42.175,504,26.1,7.3655,34.9011,2,34.904,2,290,2,3.32,2,8.59,4,0.15,4,0.65,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,13,    B42,2,19910905,1607,59.9667,-42.175,504,56.7,5.4393,34.7606,2,34.747,2,296.7,2,4.88,2,11.23,4,0.13,4,0.84,4,4.469,2,2.104,2,-999,9,-999,9
      06MT18_1,  A01E,559,1,12,    B44,2,19910905,1607,59.9667,-42.175,504,97.2,4.1095,34.6918,2,34.741,2,296.9,2,4.98,2,11.33,4,0.13,4,0.85,4,4.429,2,2.082,2,-999,9,-999,9
      06MT18_1,  A01E,559,1,11,    B46,2,19910905,1607,59.9667,-42.175,504,155.5,4.5831,34.8445,2,34.845,2,291.2,2,7.62,2,15.43,4,0,4,1.11,4,4.384,2,2.059,2,-999,9,-999,9
      06MT18_1,  A01E,559,1,10,    B45,2,19910905,1607,59.9667,-42.175,504,197.7,4.5741,34.8607,2,34.861,2,290.6,2,8.01,2,15.62,4,0,4,1.13,4,4.335,2,2.044,2,-999,9,-999,9
      06MT18_1,  A01E,559,1,9,    B52,2,19910905,1607,59.9667,-42.175,504,228.8,4.65,34.8743,2,34.88,2,289,2,8.1,2,15.72,4,0,4,1.14,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,8,    B40,2,19910905,1607,59.9667,-42.175,504,277.7,4.7929,34.9152,2,34.917,2,287.7,2,8.3,2,16.01,4,0,4,1.16,4,4.171,2,1.973,2,-999,9,-999,9
      06MT18_1,  A01E,559,1,7,    B48,2,19910905,1607,59.9667,-42.175,504,328.7,4.8299,34.9357,2,34.936,2,287.1,2,8.5,2,16.21,4,0,4,1.17,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,6,    B49,2,19910905,1607,59.9667,-42.175,504,377.2,4.8299,34.9382,2,34.938,2,286.8,2,8.5,2,16.21,4,0,4,1.19,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,5,    B51,2,19910905,1607,59.9667,-42.175,504,398.1,4.8259,34.9397,2,34.94,2,286.6,2,8.59,2,16.11,4,0,4,1.19,4,4.065,2,1.916,2,-999,9,-999,9
      06MT18_1,  A01E,559,1,4,    K30,2,19910905,1607,59.9667,-42.175,504,418.7,4.8239,34.9415,2,34.941,2,286.4,2,8.5,2,16.31,4,0,4,1.19,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,3,    B47,2,19910905,1607,59.9667,-42.175,504,438.7,4.8219,34.9413,2,34.942,2,286.4,2,8.59,2,16.31,4,0,4,1.2,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,2,    B50,2,19910905,1607,59.9667,-42.175,504,458.3,4.8179,34.9423,2,34.943,2,287.9,3,8.69,2,16.4,4,0,4,1.2,4,-999,9,-999,9,-999,9,-999,9
      06MT18_1,  A01E,559,1,1,    K31,2,19910905,1607,59.9667,-42.175,504,477.1,4.7849,34.9439,2,34.944,2,286.5,2,8.79,2,16.4,4,0,4,1.2,4,4.005,2,1.903,2,-999,9,-999,9
      06MT18_1,  A01E,560,1,24,    B41,2,19910905,1855,59.93,-41.8533,1823,8.9,8.1488,34.8973,2,34.901,2,292.6,2,2.25,2,5.57,4,0.11,4,0.51,4,4.043,6,1.947,6,2086.3,2,-999,9
      06MT18_1,  A01E,560,1,23,    K22,2,19910905,1855,59.93,-41.8533,1823,28.7,8.1148,34.897,2,34.898,2,291.1,2,2.15,2,5.86,4,0.19,4,0.53,4,-999,9,-999,9,2079.5,2,-999,9
      06MT18_1,  A01E,560,1,22,     K3,2,19910905,1855,59.93,-41.8533,1823,58.4,7.6932,34.9326,2,34.955,2,284.5,2,3.32,2,8.89,4,0.17,4,0.7,4,-999,9,-999,9,2103.2,2,-999,9
      06MT18_1,  A01E,560,1,21,    B35,2,19910905,1855,59.93,-41.8533,1823,96.8,6.6352,35.024,2,35.037,2,281.1,2,6.35,2,14.84,4,0.05,4,1.02,4,4.056,2,1.932,2,2131.5,2,-999,9
      06MT18_1,  A01E,560,1,20,    B37,2,19910905,1855,59.93,-41.8533,1823,196,5.9319,35.0495,2,35.05,2,281,2,8.2,2,16.5,4,0,4,1.16,4,3.928,2,1.877,2,2141.3,2,-999,9
      06MT18_1,  A01E,560,1,19,    B36,2,19910905,1855,59.93,-41.8533,1823,297,5.5223,35.027,2,35.028,2,283.4,2,8.5,2,16.99,4,0,4,1.21,4,-999,9,-999,9,2144.5,2,-999,9
      06MT18_1,  A01E,560,1,18,    B34,2,19910905,1855,59.93,-41.8533,1823,396.6,5.2475,35.0122,2,35.013,2,285.5,2,8.89,2,17.09,4,0,4,1.22,4,3.904,2,1.858,2,2143.9,2,-999,9
      06MT18_1,  A01E,560,1,17,     K4,2,19910905,1855,59.93,-41.8533,1823,493.4,4.9138,34.9859,2,34.987,2,287,2,9.18,2,16.99,4,0,4,1.22,4,-999,9,-999,9,2148.6,2,-999,9
      06MT18_1,  A01E,560,1,16,    B39,2,19910905,1855,59.93,-41.8533,1823,590.6,4.6221,34.9654,2,34.965,2,288,2,9.37,2,17.09,4,0,4,1.24,4,3.767,2,1.797,2,2143.6,2,-999,9
      06MT18_1,  A01E,560,1,15,    K15,2,19910905,1855,59.93,-41.8533,1823,691.5,4.2444,34.9375,2,34.939,2,290.3,3,9.47,2,17.28,4,0,4,1.25,4,-999,9,-999,9,2144.7,2,-999,9
      06MT18_1,  A01E,560,1,14,     K7,2,19910905,1855,59.93,-41.8533,1823,803,4.1225,34.932,2,34.931,2,288.7,2,9.57,2,17.38,4,0,4,1.26,4,3.571,2,1.7,2,2144.8,2,-999,9
      06MT18_1,  A01E,560,1,13,    B42,2,19910905,1855,59.93,-41.8533,1823,902,4.0076,34.9222,2,34.923,2,289.1,2,9.67,2,17.28,4,0.01,4,1.24,4,-999,9,-999,9,2146.7,2,-999,9
      06MT18_1,  A01E,560,1,12,    B44,2,19910905,1855,59.93,-41.8533,1823,997,3.8857,34.9138,2,34.915,2,289.2,2,9.77,2,17.28,4,0,4,1.25,4,3.384,2,1.612,2,2149.4,2,-999,9
