BOTTLE,20191227JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20060322WHPSIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,
      06MT30_3,  A01W,490,1,5,   U319,2,19941118,913,54.7533,-54.49,244,10.5,0.153,32.6949,2,32.6969,2,-999,1,326.6,2,8.04,2,6.93,2,-999,9,0.96,2,6.031,2,2.766,2,-999,9
      06MT30_3,  A01W,490,1,4,   K056,2,19941118,913,54.7533,-54.49,244,51.1,0.207,32.8368,2,32.8358,2,-999,1,316,2,9.03,2,7.88,2,-999,9,0.99,2,5.95,2,2.754,2,-999,9
      06MT30_3,  A01W,490,1,3,   K061,2,19941118,913,54.7533,-54.49,244,99.4,0.213,32.8542,2,32.8505,2,-999,1,320.4,2,8.79,2,7.66,2,-999,9,0.97,2,-999,9,-999,9,-999,9
      06MT30_3,  A01W,490,1,2,   K052,2,19941118,913,54.7533,-54.49,244,201.2,0.594,33.5729,2,33.5669,2,-999,1,297.2,2,11.34,2,10.81,2,-999,9,1.04,2,-999,9,-999,9,-999,9
      06MT30_3,  A01W,490,1,1,   K038,2,19941118,913,54.7533,-54.49,244,221.1,1.49,33.8924,2,33.8339,2,-999,1,294.4,2,10.69,2,11.48,2,-999,9,1,2,5.261,2,2.443,2,-999,9
      06MT30_3,  A01W,491,1,11,   K117,2,19941118,1129,54.955,-54.285,371,13.5,0.658,33.3369,2,33.3385,2,-999,1,316.8,2,8.59,2,8.31,2,-999,9,0.93,2,-999,9,-999,9,-999,9
      06MT30_3,  A01W,491,1,10,   K008,2,19941118,1129,54.955,-54.285,371,51.9,1.115,33.4562,2,33.4437,2,-999,1,319.5,2,7.61,2,8.1,2,-999,9,0.87,2,-999,9,-999,9,-999,9
      06MT30_3,  A01W,491,1,9,   K115,2,19941118,1129,54.955,-54.285,371,102.9,2.242,33.7312,2,33.7229,2,-999,1,322,2,4.87,2,7.47,2,-999,9,0.72,2,-999,9,-999,9,-999,9
      06MT30_3,  A01W,491,1,8,   K036,2,19941118,1129,54.955,-54.285,371,200.4,2.129,34.2273,2,34.225,2,-999,1,289,2,9.87,2,13.26,2,-999,9,1.03,2,-999,9,-999,9,-999,9
      06MT30_3,  A01W,491,1,7,   K067,2,19941118,1129,54.955,-54.285,371,299.9,2.614,34.4198,2,34.4254,2,-999,1,285,2,10.26,2,14.56,2,-999,9,1.06,2,-999,9,-999,9,-999,9
      06MT30_3,  A01W,491,1,6,   K017,2,19941118,1129,54.955,-54.285,371,350.9,3.361,34.6681,2,34.6649,2,-999,1,285.1,2,9.85,2,15.68,2,-999,9,1.07,2,-999,9,-999,9,-999,9
