BOTTLE,20213909JOAExport
# Exported from JOA (5.5.0 Final September 29th, 2020) on 2021/01/08 21:39:38
#BOTTLE,20140424SIOCCHRJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CTDSAL and NITRIT flags initialized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Changed CTDPRS units from DBARS to DBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Changed BEDFORDNO to BIONBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Changed THETA units from DEGC to DEG C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Changed NITRIT & CFC-11 empty data value flag 2 to flag 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Changed CFC-11 & CFC-12 empty data value flag -999 to flag 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# BOTTLE,20090423PRINUNIVRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5/13/05 Initialized README file  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ship: Meteor ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: 06MT395 parts of WOCE sections AR07Ei and AR25 + VEINS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region: Far North Atlantic and east of Greenland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dates: 8/15 - 9/9/1997  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 06MT19970815 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist: A. Sy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 110 stations with 24 place Rosette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hydro: Who - Sy; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: Data from R. Steinfeldt 3/1/07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nuts/O2: Who - BSH; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: Data from H. Thomas 7/29/08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Converted to umol/kg with CTDSAL and assumed temperature of 22C ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	No match found for following Bedford #'s in H.Thomas file (discarded): ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bedfordno phosphate silicate nitrite nitrate  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 200500    1.1483   9.7632  0.0288 17.4606 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 202410    0.9825   7.5000  0.0641 14.7543 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 203422    0.3571   1.0752  0.1433  3.7991 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 203423    0.3694   1.4938  0.1360  4.1580 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 203727    1.2223  11.4438  0.0090 18.8967 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 203728    1.1731   9.7860  0.0148 17.9235 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 204213    0.1582   0.5610  0.1920  1.0446 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 204214    0.1399   0.3943  0.1166  0.5798 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Problem exists with oxygen results and all values flagged 3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	4/23/09 Reset oxygen flags and reran 1st QC ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TCO2: Who - H.Thomas, B.Schneider; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: CRM??", Method?? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Good data", compare favorably with 06MT39_4 and GLODAP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	See Thomas and Ittekkot",2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CFC: Who - M. Rhein; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: All CFC-12 flagged 3 or worse. Due to poor chromatograms the ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 		CFC-12 data are unreliable. CFC-11 are ok (confirmed with ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 		R. Steinfeldt). CFC-11 Accuracy 1.5% ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	See Rhein et al. 2002. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Converted CFC scale from SIO-93 to SIO-98 8/28/08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# H-3/He-3: Who - R.Bayer,H.Hildebrandt; Status - no data in file  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: measured according to cruise report ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Other:  O18/O16 (Bayer), SF6. Thomas: underway pCO2. Keir: CH4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# References: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Thomas, H. and V. Ittekkot, Determination of anthropogenic CO2 in the North Atlantic Ocean using water mass ages and CO2 equilibrium chemistry, J. Mar. Sys.,27, 325-336,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rhein, M., J. Fischer, W. M. Smethie, D. Smythe-Wright, R. F. Weiss, C. Mertens, D-H. Min, U. Fleischmann, and A. Putzka (2002), Labrador Sea Water: Pathways, CFC Inventory, and Formation Rates, J. Phys. Oceanogr,32, 648-665. ,,,,,,,,,,,,,,,,,,,,,,,,
# Rhein, M. M. Walter, C. Mertens, R. Steinfeldt, and D. Kieke, The circulation of North Atlantic Deep Water at 16ÃÂ°N, 2000-2003, Geophys. Res. Lett.,31, L14305, doi:10.1029/2004GL019993,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Steinfeldt, R. and M. Rhein, Spreading velocities and dilution of North Atlantic Deep Water in the tropical Atlantic based on CFC time series, J. Geophys. Res.,109, C03046, doi: 10.1029/2003JC002050,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,   AR07E,    506,   1,-999.0,       4,  2,19970825,0000,  59.9967,  -42.5000,   193,     10.8,   2.8581,  31.6868,2,  31.5782,2, -999.000,9,   -999.0,3,     0.75,2,     0.04,2,     0.01,2,     0.24,2, -999.000,9, -999.000,9, -999.000,9, 1949.200,2, -999.000,9
           NA,   AR07E,    506,   1,-999.0,       3,  2,19970825,0000,  59.9967,  -42.5000,   193,     50.9,   0.0089,  33.1441,2,  33.1471,2, -999.000,9,   -999.0,3,     2.41,2,     4.57,2,     0.11,2,     0.60,2, -999.000,9, -999.000,9, -999.000,9, 2066.500,2, -999.000,9
           NA,   AR07E,    506,   1,-999.0,       2,  2,19970825,0000,  59.9967,  -42.5000,   193,    102.3,   4.1855,  34.2961,2,  34.2639,2, -999.000,9,   -999.0,3,     2.89,2,     6.63,2,     0.21,2,     0.63,2, -999.000,9, -999.000,9, -999.000,9, 2094.700,2, -999.000,9
           NA,   AR07E,    506,   1,-999.0,       1,  2,19970825,0000,  59.9967,  -42.5000,   193,    167.8,   3.9270,  34.5276,2,  34.5185,2, -999.000,9,    297.9,2,     6.00,2,    11.43,2,     0.21,2,     0.84,2, -999.000,9, -999.000,9, -999.000,9, 2119.900,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,      12,  2,19970825,0000,  59.9667,  -42.1733,   505,     10.3,   4.8315,  34.1014,2,  34.0941,2, -999.000,9,   -999.0,3,     1.20,2,     4.42,2,     0.12,2,     0.45,2,    5.366,2, -999.000,3, -999.000,9, 2070.600,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,      11,  2,19970825,0000,  59.9667,  -42.1733,   505,     49.3,   4.5652,  34.5602,2,  34.5508,2, -999.000,9,   -999.0,3,     4.09,2,     9.57,2,     0.22,2,     0.74,2, -999.000,9, -999.000,9, -999.000,9, 2107.900,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,      10,  2,19970825,0000,  59.9667,  -42.1733,   505,    100.6,   4.1873,  34.6289,2,  34.6272,2, -999.000,9,    297.0,2,     5.77,2,    12.21,2,     0.21,2,     0.86,2, -999.000,9, -999.000,9, -999.000,9, 2120.400,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,       9,  2,19970825,0000,  59.9667,  -42.1733,   505,    151.1,   4.2834,  34.6805,2,  34.6828,2, -999.000,9,    294.5,2,     6.16,2,    12.98,2,     0.12,2,     0.90,2, -999.000,9, -999.000,9, -999.000,9, 2139.600,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,       8,  2,19970825,0000,  59.9667,  -42.1733,   505,    200.3,   4.7470,  34.7852,2,  34.7815,2, -999.000,9,    290.6,2,     6.78,2,    13.81,2,     0.05,2,     0.93,2,    4.677,2, -999.000,3, -999.000,9, 2128.400,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,       7,  2,19970825,0000,  59.9667,  -42.1733,   505,    300.3,   4.8898,  34.8287,2,  34.8193,2, -999.000,9,    288.5,2,     7.08,2,    14.28,2,     0.03,2,     0.95,2, -999.000,9, -999.000,9, -999.000,9, 2130.100,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,       6,  2,19970825,0000,  59.9667,  -42.1733,   505,    401.5,   5.0782,  34.8850,2,  34.8823,2, -999.000,9,    285.6,2,     7.54,2,    14.76,2,     0.03,2,     0.98,2, -999.000,9, -999.000,9, -999.000,9, 2132.900,2, -999.000,9
           NA,   AR07E,    507,   1,-999.0,       5,  2,19970825,0000,  59.9667,  -42.1733,   505,    467.0,   4.8641,  34.9077,2,  34.9041,2, -999.000,9,    281.8,2,     8.23,2,    15.38,2,     0.02,2,     1.01,2,    4.302,2, -999.000,3, -999.000,9, 2136.300,2, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      20,  2,19970825,0000,  59.9317,  -41.8500,  1829,     14.7,   9.3144,  34.8698,2,  34.8606,2, -999.000,9,    291.9,2,     1.05,2,     4.39,2,  -999.00,9,     0.36,2,    4.136,2, -999.000,3, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      19,  2,19970825,0000,  59.9317,  -41.8500,  1829,     50.2,   8.1326,  34.9511,2,  34.9326,2, -999.000,9,    286.7,2,     2.49,2,     7.64,2,     0.23,2,     0.60,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      18,  2,19970825,0000,  59.9317,  -41.8500,  1829,     99.8,   6.8024,  35.0256,2,  35.0250,2, -999.000,9,    280.3,2,     5.78,2,    13.91,2,     0.11,2,     0.91,2,    4.329,2, -999.000,3, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      17,  2,19970825,0000,  59.9317,  -41.8500,  1829,    200.3,   5.9127,  34.9889,2,  34.9902,2, -999.000,9,    281.2,2,     7.45,2,    15.02,2,     0.02,2,     0.99,2,    4.330,2, -999.000,3, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      16,  2,19970825,0000,  59.9317,  -41.8500,  1829,    301.3,   5.4508,  34.9708,2,  34.9672,2, -999.000,9,    280.1,2,     8.26,2,    15.59,2,     0.02,2,     1.03,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      15,  2,19970825,0000,  59.9317,  -41.8500,  1829,    400.9,   5.0103,  34.9497,2,  34.9507,2, -999.000,9,    280.1,2,     8.71,2,    16.07,2,     0.02,2,     1.06,2,    4.069,2, -999.000,3, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      14,  2,19970825,0000,  59.9317,  -41.8500,  1829,    500.9,   4.6844,  34.9261,2,  34.9264,2, -999.000,9,    282.7,2,     8.88,2,    16.26,2,     0.02,2,     1.07,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      13,  2,19970825,0000,  59.9317,  -41.8500,  1829,    600.8,   4.3776,  34.9161,2,  34.9167,2, -999.000,9,    283.3,2,     9.12,2,    16.30,2,     0.01,2,     1.07,2,    3.920,2, -999.000,3, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      12,  2,19970825,0000,  59.9317,  -41.8500,  1829,    701.1,   4.0896,  34.8975,2,  34.8995,2, -999.000,9,    279.9,2,     9.24,2,    16.54,2,     0.01,2,     1.09,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      11,  2,19970825,0000,  59.9317,  -41.8500,  1829,    801.8,   3.8368,  34.8918,2,  34.8924,2, -999.000,9,    283.6,2,     9.58,2,    16.98,2,     0.01,2,     1.10,2,    3.786,2, -999.000,3, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,      10,  2,19970825,0000,  59.9317,  -41.8500,  1829,    898.6,   3.6578,  34.8973,2,  34.8979,2, -999.000,9,    282.4,2,     9.73,2,    16.76,2,     0.01,2,     1.09,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,    508,   1,-999.0,       9,  2,19970825,0000,  59.9317,  -41.8500,  1829,   1000.4,   3.5951,  34.8977,2,  34.8982,2, -999.000,9,    283.2,2,     9.72,2,    16.67,2,     0.01,2,     1.09,2,    3.532,2, -999.000,3, -999.000,9, -999.000,9, -999.000,9
