BOTTLE,20214209JOAExport
# Exported from JOA (5.5.0 Final September 29th, 2020) on 2021/01/08 21:42:26
#BOTTLE,20081219PRINUNIVRMKPRINUNIVRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 4/22/08 this file initialized ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data from van Aken via CCHDO 4/17/08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ship:Pelagia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: 64PE169 (CAMP,CLIVARNET); WOCE A1E/AR7E ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Dates:9/26-10/19/2000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 64PE20000926 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region:NE Atlantic, Greenland to Scotland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist:H.M. van Aken ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 41 (39 with bottle samples) full depth stations with 24 place Rosette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hydro: Who - van Aken; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: Niskin leak problems (bad O-rings) resulted in ~7% sample loss ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nuts/O2: Who - K.Bakker;D.Volkov; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: Technicon TRAACS 800 auto-analyzer ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TCO2: Who - K.Bakker; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: Technicon Traacs 800 rapid flow auto-analyzer ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Scatter of ~7umol/kg ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	See Stoll et al. 1996a",b,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# References: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stoll, M.H.C, H.M. van Aken, H.J.W. de Baar and M. Kraak (1996) Carbon dioxide characteristics of water masses in the northern North Atlantic Ocean. Marine Chemistry,55, 217-232 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stoll, M.H.C., H.M. van Aken, H.J.W. de Baar and C.J. de Boer (1996) Meridional carbon dioxide transport in the northern North Atlantic. Marine Chemistry,55, 205-216. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stoll, M.H.C.; Bakker, K.M.J.; Nobbe, G.H.; and Haese, R.R., Continuous-Flow Analysis of Dissolved Inorganic Carbon Content in Seawater, Anal. Chem., 73(17), 4111-4116,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# van Aken, H.M., RV Pelagia Shipboard Report: Cruise 64PE169, Project CLIVARNET, Atlantic Monitoring Programme (CAMP), NIOZ, Texel, 26pp,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# van Aken, H.M., and C.J. de Boer (1995) On the synoptic hydrography of intermediate and deep water masses in the Iceland Basin. Deep-Sea Research 42(2), 165-189 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# van Aken, H.M., and G. Becker (1996) Hydrography and through-flow in the north-eastern North Atlantic Ocean: the NANSEN project. Progress in Oceanography,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# R.M. Hendry, H. van Aken, and I. Yashayaev (2007) Monitoring the ventilation of the Irminger and Labrador Seas. CLIVAR Exchanges No. 40 (volume 12, No. 1), 25-27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Yashayaev, I., M. Bersch, and H.M. van Aken (2007) Spreading of the Labrador Sea Water to the Irminger and Iceland basins. Geophysical Research Letters,34, L10602, doi:10.1029/2006gl028999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Yashayaev, I., H. M. van Aken, N. P. Holliday, and M. Bersch (2007), Transformation of the Labrador Sea Water in the subpolar North Atlantic, Geophysical Research Letters, doi:10.1029/2007GL031812 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Yashayaev, N. P. Holliday, M. Bersch I., and H. M. van Aken (2008) The history of Labrador Sea Water: Production, Spreading, Transformation and Loss. In: Arctic-Subarctic Ocean Fluxes, R.R. Dickson, J. Meincke, and P. Rhines (Eds.) Springer, pp. 569-612 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,   AR07E,     43,   1,       1,       1,  2,20001010,0000,  59.9482,  -42.7522,   193,    183.2,    4.392,   34.476,2, -999.000,9, -999.000,9,  290.900,2,    5.700,2,   11.700,2,    0.100,2,    0.850,2, -999.000,9, -999.000,9, -999.000,9, 2117.800,2, -999.000,9
           NA,   AR07E,     43,   1,       2,       2,  2,20001010,0000,  59.9482,  -42.7522,   193,    100.4,    3.953,   34.237,2, -999.000,9, -999.000,9, -999.000,9,    4.900,2,    9.900,2,    0.070,2,    0.770,2, -999.000,9, -999.000,9, -999.000,9, 2101.400,2, -999.000,9
           NA,   AR07E,     43,   1,       3,       3,  2,20001010,0000,  59.9482,  -42.7522,   193,     49.4,    2.874,   33.699,2, -999.000,9, -999.000,9, -999.000,9,    4.200,2,    7.400,2,    0.170,2,    0.650,2, -999.000,9, -999.000,9, -999.000,9, 2074.900,2, -999.000,9
           NA,   AR07E,     43,   1,       4,       4,  2,20001010,0000,  59.9482,  -42.7522,   193,      3.4,    1.460,   32.257,2, -999.000,9, -999.000,9, -999.000,3,    3.300,2,    3.900,2,    0.140,2,    0.530,2, -999.000,9, -999.000,9, -999.000,9, 2018.900,2, -999.000,9
           NA,   AR07E,     42,   1,       1,       1,  2,20001010,0000,  59.8982,  -42.2517,   389,    379.1,    4.983,   34.920,2, -999.000,9, -999.000,9,  277.400,2,    8.300,2,   15.600,2,    0.010,2,    1.050,2, -999.000,9, -999.000,9, -999.000,9, 2140.500,2, -999.000,9
           NA,   AR07E,     42,   1,       2,       2,  2,20001010,0000,  59.8982,  -42.2517,   389,    303.9,    5.000,   34.914,2, -999.000,9, -999.000,9, -999.000,9,    8.100,2,   15.500,2,    0.010,2,    1.050,2, -999.000,9, -999.000,9, -999.000,9, 2140.600,2, -999.000,9
           NA,   AR07E,     42,   1,       3,       3,  2,20001010,0000,  59.8982,  -42.2517,   389,    201.2,    5.110,   34.902,2, -999.000,9, -999.000,9,  279.900,2,    7.800,2,   15.400,2,    0.020,2,    1.060,2, -999.000,9, -999.000,9, -999.000,9, 2140.600,2, -999.000,9
           NA,   AR07E,     42,   1,       4,       4,  2,20001010,0000,  59.8982,  -42.2517,   389,    101.5,    6.245,   35.000,2, -999.000,9, -999.000,9,  275.100,2,    7.200,2,   15.000,2,    0.020,2,    1.010,2, -999.000,9, -999.000,9, -999.000,9, 2138.400,2, -999.000,9
           NA,   AR07E,     42,   1,       5,       5,  2,20001010,0000,  59.8982,  -42.2517,   389,     57.8,    6.624,   34.870,2, -999.000,9, -999.000,9, -999.000,9,    5.800,2,   13.200,2,    0.080,2,    0.900,2, -999.000,9, -999.000,9, -999.000,9, 2129.200,2, -999.000,9
           NA,   AR07E,     42,   1,       6,       6,  2,20001010,0000,  59.8982,  -42.2517,   389,      3.9,    3.622,   33.953,2, -999.000,9, -999.000,9, -999.000,3,    4.300,2,    8.200,2,    0.180,2,    0.670,2, -999.000,9, -999.000,9, -999.000,9, 2087.500,2, -999.000,9
           NA,   AR07E,     41,   1,       1,       1,  2,20001010,0000,  59.8447,  -41.7477,  1843,   1833.1,    1.675,   34.872,2, -999.000,9, -999.000,9,  294.500,2,    9.000,2,   14.500,2,    0.000,2,    1.000,2, -999.000,9, -999.000,9, -999.000,9, 2145.100,2, -999.000,9
           NA,   AR07E,     41,   1,       2,       2,  2,20001010,0000,  59.8447,  -41.7477,  1843,   1622.4,    2.477,   34.886,2, -999.000,9, -999.000,9, -999.000,9,   10.300,2,   15.400,2,    0.010,2,    1.050,2, -999.000,9, -999.000,9, -999.000,9, 2147.200,2, -999.000,9
           NA,   AR07E,     41,   1,       3,       3,  2,20001010,0000,  59.8447,  -41.7477,  1843,   1421.0,    2.667,   34.890,2, -999.000,9, -999.000,9,  283.500,2,   10.500,2,   15.900,2,    0.020,2,    1.080,2, -999.000,9, -999.000,9, -999.000,9, 2147.300,2, -999.000,9
           NA,   AR07E,     41,   1,       4,       4,  2,20001010,0000,  59.8447,  -41.7477,  1843,   1216.8,    3.053,   34.886,2, -999.000,9, -999.000,9, -999.000,9,   10.300,2,   16.400,2,    0.000,2,    1.100,2, -999.000,9, -999.000,9, -999.000,9, 2150.500,2, -999.000,9
           NA,   AR07E,     41,   1,       5,       5,  2,20001010,0000,  59.8447,  -41.7477,  1843,   1011.6,    3.481,   34.904,2, -999.000,9, -999.000,9,  276.300,2,    9.900,2,   16.400,2,    0.000,2,    1.100,2, -999.000,9, -999.000,9, -999.000,9, 2149.500,2, -999.000,9
           NA,   AR07E,     41,   1,       6,       6,  2,20001010,0000,  59.8447,  -41.7477,  1843,    911.8,    3.796,   34.911,2, -999.000,9, -999.000,9, -999.000,9,    9.700,2,   16.500,2,    0.020,2,    1.110,2, -999.000,9, -999.000,9, -999.000,9, 2145.300,2, -999.000,9
           NA,   AR07E,     41,   1,       7,       7,  2,20001010,0000,  59.8447,  -41.7477,  1843,    808.4,    4.027,   34.916,2, -999.000,9, -999.000,9,  281.100,2,    9.400,2,   16.700,2,    0.030,2,    1.110,2, -999.000,9, -999.000,9, -999.000,9, 2146.400,2, -999.000,9
