BOTTLE,20214521JOAExport
# Exported from JOA (5.5.0 Final September 29th, 2020) on 2021/01/21 11:45:26
#BOTTLE,20120718PRINUNIVRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 3/14/2012 Initialized README file  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data source: CCHDO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SHIP: Pelagia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: PE240; CAMP; CLIVARNET Atlantic Monitoring Programme ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region: NE Atlantic; AR07E ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 64PE20050907 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATES: 9/7 - 10/5/2005 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist: C. Veth; NIOZ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 42 stations with 24 place Rosette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Bottom depths approximated from global topography ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hydro: Who - C.Veth/de Jong; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: 	no CTD values included ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nuts: Who - K.Bakker; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes:  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# O2: Who - H. van Aken; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: no CTD values included ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TCO2: Who - S. van Heuven;H.Zemmelink; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: VINDTA instrument", calibration against CRM 70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TA: Who - S. van Heuven;H.Zemmelink; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes:  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# O18: Who - G.Brumer; Status - no data in file ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes:  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Other: Who - ; Status - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes:  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# References: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,   AR07E,      8,   1,-999.0,       5,  2,20050917,0817,  59.9480,  -42.7520,   197,    8.000,    2.731,   31.224,2, -999.000,9, -999.000,9,  341.100,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,      8,   1,-999.0,       4,  2,20050917,0817,  59.9480,  -42.7520,   197,   48.000,    3.742,   33.672,2, -999.000,9, -999.000,9,  315.000,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,      8,   1,-999.0,       3,  2,20050917,0817,  59.9480,  -42.7520,   197,   98.000,    4.254,   34.201,2, -999.000,9, -999.000,9,  296.700,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,      8,   1,-999.0,       2,  2,20050917,0817,  59.9480,  -42.7520,   197,  187.000,    5.433,   34.853,2, -999.000,9, -999.000,9,  279.100,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,      8,   1,-999.0,       1,  2,20050917,0817,  59.9480,  -42.7520,   197,  188.000,    5.434,   34.853,2, -999.000,9, -999.000,9,  279.400,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,      9,   1,-999.0,       7,  2,20050917,1457,  59.9010,  -42.2530,   389,    9.000,    4.275,   33.447,2, -999.000,9, -999.000,9,  318.300,2,    2.200,2,    3.900,2,    0.150,2,    0.380,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,   AR07E,      9,   1,-999.0,       6,  2,20050917,1457,  59.9010,  -42.2530,   389,   48.000,    5.250,   34.386,2, -999.000,9, -999.000,9,  295.300,2,    3.500,2,    8.200,2,    0.200,2,    0.600,2, -999.000,9, -999.000,9, -999.000,9, 2100.100,2, 2277.700,2
           NA,   AR07E,      9,   1,-999.0,       5,  2,20050917,1457,  59.9010,  -42.2530,   389,   92.000,    4.778,   34.470,2, -999.000,9, -999.000,9,  291.800,2,    4.300,2,    9.800,2,    0.140,2,    0.690,2, -999.000,9, -999.000,9, -999.000,9, 2111.400,2, 2280.700,2
           NA,   AR07E,      9,   1,-999.0,       4,  2,20050917,1457,  59.9010,  -42.2530,   389,  198.000,    4.740,   34.715,2, -999.000,9, -999.000,9,  281.500,2,    6.400,2,   13.200,2,    0.030,2,    0.880,2, -999.000,9, -999.000,9, -999.000,9, 2139.200,2, 2292.700,2
           NA,   AR07E,      9,   1,-999.0,       3,  2,20050917,1457,  59.9010,  -42.2530,   389,  300.000,    5.033,   34.845,2, -999.000,9, -999.000,9,  277.900,2,    7.200,2,   14.500,2,    0.030,2,    0.940,2, -999.000,9, -999.000,9, -999.000,9, 2146.700,2, 2299.500,2
           NA,   AR07E,      9,   1,-999.0,       1,  2,20050917,1457,  59.9010,  -42.2530,   389,  380.000,    5.178,   34.894,2, -999.000,9, -999.000,9,  277.300,2,    7.500,2,   14.900,2,    0.040,2,    0.970,2, -999.000,9, -999.000,9, -999.000,9, 2149.400,2, 2302.500,2
