BOTTLE,20191227JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20180808PRINUNIVRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,
  58GS20150410,   A01,175,1,12,12,2,20150416,1037,59.618,-40.738,2506,9.9,3.8991,34.9132,2,34.9135,2,313.8,2,311.6,2,8.33,2,14.67,2,0,2,1.12,2,-999,9,2.462,2,2.8219,2,2154.4,2,2305.6,2
  58GS20150410,   A01,175,1,12,11,2,20150416,1037,59.618,-40.738,2506,99.7,3.7521,34.9076,2,34.9081,2,309.1,2,307,2,8.32,2,15.36,2,0,2,1.2,2,-999,9,2.481,2,3.0749,2,2163.8,2,2304.8,2
  58GS20150410,   A01,175,1,12,10,2,20150416,1037,59.618,-40.738,2506,248.4,3.6573,34.8977,2,34.8983,2,308.6,2,307.4,2,8.4,2,15.48,2,0,2,1.2,2,-999,9,2.472,2,2.9289,2,2160.8,2,2305,2
  58GS20150410,   A01,175,1,12,9,2,20150416,1037,59.618,-40.738,2506,399,3.6759,34.9055,2,34.9024,2,305,2,306.5,2,8.47,2,15.64,2,0,2,1.24,2,-999,9,2.472,2,2.8024,2,2163.5,2,2306.1,2
  58GS20150410,   A01,175,1,12,8,2,20150416,1037,59.618,-40.738,2506,499.2,3.6707,34.9001,2,34.9007,2,303.5,2,304,2,8.55,2,15.71,2,0,2,1.24,2,-999,9,2.442,2,3.1039,2,2159.8,2,2305.4,2
  58GS20150410,   A01,175,1,12,7,2,20150416,1037,59.618,-40.738,2506,649.4,3.6546,34.8981,2,34.8989,2,301.7,2,302.3,2,8.65,2,15.77,2,0,2,1.25,2,-999,9,2.433,2,3.2207,2,2160.1,2,2304.5,2
  58GS20150410,   A01,175,1,12,6,2,20150416,1037,59.618,-40.738,2506,849.2,3.6081,34.8924,2,34.8919,2,297.4,2,298.6,2,8.9,2,15.94,2,0,2,1.27,2,-999,9,2.364,2,3.0358,2,2161.9,2,2303.3,2
  58GS20150410,   A01,175,1,12,5,2,20150416,1037,59.618,-40.738,2506,999.6,3.4904,34.8784,2,34.8795,2,298.4,2,300,2,8.97,2,15.9,2,0,2,1.27,2,-999,9,2.403,2,3.7072,2,2164.5,2,2303.4,2
  58GS20150410,   A01,175,1,12,4,2,20150416,1037,59.618,-40.738,2506,1248,3.5892,34.9359,2,34.9356,2,274.3,2,277.1,2,10.91,2,16.45,2,0,2,1.29,2,-999,9,1.8,2,1.8876,2,2160.7,2,2307.7,2
  58GS20150410,   A01,175,1,12,3,2,20150416,1037,59.618,-40.738,2506,1797.3,3.0535,34.9321,2,34.9323,2,276.3,2,280.5,2,12.11,2,16,2,0,2,1.3,2,-999,9,1.576,2,0.72971,2,2160.6,2,2307.9,2
  58GS20150410,   A01,175,1,12,1,3,20150416,1037,59.618,-40.738,2506,2485.4,1.4664,34.9181,2,34.9176,3,299.5,2,293.3,3,10.48,3,14.89,3,0,3,1.17,3,-999,9,1.956,3,3.6095,3,2165.7,3,2299.7,3
  58GS20150410,   A01,176,1,12,12,2,20150416,1851,59.448,-39.752,2976,9.7,3.7857,34.8973,2,34.8991,2,313.9,2,310.7,2,8.3,2,14.75,2,0.07,2,1.13,2,-999,9,2.501,2,2.2574,2,2149.9,2,2308.9,2
  58GS20150410,   A01,176,1,12,11,2,20150416,1851,59.448,-39.752,2976,100.7,3.6266,34.8909,2,34.8904,2,312.5,2,309.3,2,8.4,2,15.4,2,0,2,1.15,2,-999,9,2.52,2,1.9168,2,2156.3,2,2303.3,2
  58GS20150410,   A01,176,1,12,10,2,20150416,1851,59.448,-39.752,2976,250,3.5672,34.8882,2,34.8861,2,307.8,2,305.8,2,8.45,2,15.56,2,0,2,1.22,2,-999,9,2.481,2,2.8509,2,2158.9,2,2302.3,2
  58GS20150410,   A01,176,1,12,9,2,20150416,1851,59.448,-39.752,2976,502,3.5811,34.8903,2,34.8897,2,307.5,2,309.4,2,8.55,2,15.87,2,0,2,1.21,2,-999,9,2.51,2,2.4423,2,2162,2,2304.5,2
  58GS20150410,   A01,176,1,12,8,2,20150416,1851,59.448,-39.752,2976,648.9,3.5176,34.8798,2,34.8806,2,308.1,2,307.3,2,8.54,2,15.66,2,0,2,1.24,2,-999,9,2.501,2,2.3449,2,2161.4,2,2303.2,2
  58GS20150410,   A01,176,1,12,7,2,20150416,1851,59.448,-39.752,2976,848.7,3.5049,34.8772,2,34.8775,2,308.1,2,308.1,2,8.5,2,15.66,2,0,2,1.22,2,-999,9,2.51,2,2.4812,2,2163,2,2301.2,2
  58GS20150410,   A01,176,1,12,6,2,20150416,1851,59.448,-39.752,2976,1000.4,3.4887,34.8743,2,34.8741,2,305.2,2,305.5,2,8.65,2,15.88,2,0,2,1.23,2,-999,9,2.501,2,3.2304,2,2161.3,2,2301.1,2
  58GS20150410,   A01,176,1,12,5,2,20150416,1851,59.448,-39.752,2976,1249.6,3.4686,34.8701,2,34.8714,2,303.2,2,311,3,8.71,2,15.74,2,0,2,1.24,2,-999,9,2.471,2,2.9385,2,2162.2,2,2301.8,2
  58GS20150410,   A01,176,1,12,4,2,20150416,1851,59.448,-39.752,2976,1600.4,3.623,34.9309,2,34.9307,2,274,2,276.7,2,11.09,2,16.61,2,0,2,1.28,2,-999,9,1.771,2,2.4227,2,2163.6,2,2308.1,2
  58GS20150410,   A01,176,1,12,3,2,20150416,1851,59.448,-39.752,2976,2000.7,3.2318,34.9279,2,34.9272,2,275.8,2,279.5,2,11.99,2,16.34,2,0,2,1.29,2,-999,9,1.557,2,2.2572,2,2162.9,2,2307.2,2
  58GS20150410,   A01,176,1,12,2,2,20150416,1851,59.448,-39.752,2976,2500.4,2.8402,34.9398,2,34.9398,2,275,2,279.8,2,13.95,2,15.97,2,0,2,1.32,2,-999,9,1.43,2,1.1578,2,2166.3,2,2308.8,2
  58GS20150410,   A01,176,1,12,1,3,20150416,1851,59.448,-39.752,2976,2966.7,1.3236,34.9273,2,34.9275,3,297.4,2,286.5,3,12.32,3,15.76,3,0,3,1.28,3,-999,9,1.673,3,2.8993,3,2167,3,2309.3,3
  58GS20150410,   A01,177,1,12,12,2,20150417,20,59.281,-38.775,3082,10.2,3.8779,34.9169,2,34.9168,2,309.2,2,306.9,2,8.57,2,15.45,2,0,2,1.07,2,-999,9,2.54,2,3.279,2,2160.7,2,-999,9
  58GS20150410,   A01,177,1,12,11,2,20150417,20,59.281,-38.775,3082,99.5,3.9124,34.9234,2,34.9224,2,306.9,2,306,2,8.5,2,15.78,2,0,2,1.12,2,-999,9,2.481,2,2.3936,2,2157.5,2,2304.1,2
  58GS20150410,   A01,177,1,12,10,2,20150417,20,59.281,-38.775,3082,251.1,3.8017,34.9108,2,34.9126,2,304.9,2,303.1,2,8.58,2,15.93,2,0,2,1.14,2,-999,9,2.481,2,3.2401,2,2162.5,2,2304.1,2
  58GS20150410,   A01,177,1,12,9,2,20150417,20,59.281,-38.775,3082,499.2,3.7281,34.9042,2,34.9039,2,302.5,2,309.6,3,8.62,2,15.92,2,0,2,1.17,2,-999,9,2.462,2,2.452,2,2157,2,2306,2
  58GS20150410,   A01,177,1,12,8,2,20150417,20,59.281,-38.775,3082,648.9,3.7062,34.9012,2,34.9013,2,303.9,2,303.7,2,8.61,2,16.12,2,0,2,1.21,2,-999,9,2.491,2,2.452,2,2158.7,2,2304.8,2
  58GS20150410,   A01,177,1,12,7,2,20150417,20,59.281,-38.775,3082,849.1,3.6863,34.8985,2,34.8982,2,305.1,2,304.6,2,8.51,2,15.74,2,0,2,1.23,2,-999,9,2.501,2,2.5784,2,2158.9,2,2302.4,2
  58GS20150410,   A01,177,1,12,6,2,20150417,20,59.281,-38.775,3082,999.2,3.6935,34.8982,2,34.898,2,305.2,2,304.8,2,8.5,2,15.84,2,0,2,1.17,2,-999,9,2.51,2,3.2206,2,2163.8,2,2304.1,2
  58GS20150410,   A01,177,1,12,3,2,20150417,20,59.281,-38.775,3082,1999.6,3.3281,34.9336,2,34.9344,2,279.3,2,278.8,2,11.64,2,16.46,2,0,2,1.23,2,-999,9,1.615,2,1.3621,2,2158.7,2,2306.1,2
  58GS20150410,   A01,177,1,12,2,2,20150417,20,59.281,-38.775,3082,2498.6,2.9528,34.9372,2,34.9369,2,280.5,2,280.2,2,13.26,2,16.21,2,0,2,1.23,2,-999,9,1.469,2,2.1112,2,2166.1,2,2307.2,2
  58GS20150410,   A01,177,1,12,1,2,20150417,20,59.281,-38.775,3082,3058.4,1.3056,34.9064,2,34.9064,2,305.1,2,305.1,2,8.57,2,14.01,2,0,2,1.07,2,-999,9,2.267,4,2.9478,4,2164.9,2,2305.6,2
  58GS20150410,   A01,178,1,12,12,2,20150417,609,59.118,-37.781,3242,10.4,3.6933,34.9016,2,34.8975,2,309.9,2,308,2,8.48,2,15.31,2,0,2,1.07,2,-999,9,2.452,2,2.4131,2,2165.3,2,2303.2,2
  58GS20150410,   A01,178,1,12,11,2,20150417,609,59.118,-37.781,3242,98.5,3.6951,34.901,2,34.8968,2,309.5,2,307.7,2,8.41,2,15.62,2,0,2,1.09,2,-999,9,2.472,4,2.092,4,2166.1,2,2302.6,2
  58GS20150410,   A01,178,1,12,10,2,20150417,609,59.118,-37.781,3242,248.2,3.5644,34.8874,2,34.8829,2,307.8,2,306.8,2,8.41,2,15.74,2,0,2,1.09,2,-999,9,2.452,2,2.306,2,2164.6,2,2304.5,2
  58GS20150410,   A01,178,1,12,9,2,20150417,609,59.118,-37.781,3242,499.5,3.6409,34.8979,2,34.8949,2,304.8,2,304.7,2,8.5,2,15.91,2,0,2,1.13,2,-999,9,2.471,4,2.5979,4,2165.9,2,2304.1,2
  58GS20150410,   A01,178,1,12,8,2,20150417,609,59.118,-37.781,3242,649.6,3.6702,34.9007,2,34.8973,2,304,2,304,2,8.47,2,15.86,2,0,2,1.15,2,-999,9,2.471,2,1.839,2,2167.5,2,2303.4,2
  58GS20150410,   A01,178,1,12,7,2,20150417,609,59.118,-37.781,3242,849,3.6174,34.8914,2,34.8883,2,305,2,305.7,2,8.49,2,15.94,2,0,2,1.13,2,-999,9,2.491,2,1.9071,2,2167.1,2,2306,2
  58GS20150410,   A01,178,1,12,6,2,20150417,609,59.118,-37.781,3242,1000.7,3.613,34.889,2,34.8865,2,304.9,2,305.9,2,8.52,2,15.93,2,0,2,1.13,2,-999,9,2.501,2,2.0141,2,2162.8,2,2303.9,2
  58GS20150410,   A01,178,1,12,5,2,20150417,609,59.118,-37.781,3242,1250.5,3.578,34.8806,2,34.8793,2,303.2,2,304.6,2,8.58,2,16.02,2,0,2,1.15,2,-999,9,2.471,2,2.8314,2,2163.1,2,2303.2,2
  58GS20150410,   A01,178,1,12,4,2,20150417,609,59.118,-37.781,3242,1448.9,3.5225,34.8744,2,34.8721,2,300.3,2,302.2,2,8.62,2,16.04,2,0,2,1.15,2,-999,9,2.432,2,3.8628,2,2167.3,2,2303.7,2
