BOTTLE,20200203JOAExport
# Exported from JOA (5.5.0 Final January 13th, 2020) on 2020/11/03 10:02:08
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,I03_1995_bot_clean_hy1 (merged),    562,   1,-999.0,       7,-999.0,19950601,2325, -20.0008,   48.9177,   232,    7.800,   26.151,   35.020,2,   35.017,2,  204.300,2,  205.000,2,    2.150,2,    0.150,2,    0.000,2,    0.130,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,I03_1995_bot_clean_hy1 (merged),    562,   1,-999.0,       6,-999.0,19950601,2325, -20.0008,   48.9177,   232,   36.900,   26.142,   35.021,2,   35.018,2,  205.400,2,  204.700,2,    2.140,2,    0.100,2,    0.000,2,    0.130,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,I03_1995_bot_clean_hy1 (merged),    562,   1,-999.0,       5,-999.0,19950601,2325, -20.0008,   48.9177,   232,   67.900,   24.489,   35.179,2,   35.173,2,  207.700,2,  208.000,2, -999.000,4, -999.000,4, -999.000,4, -999.000,4, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,I03_1995_bot_clean_hy1 (merged),    562,   1,-999.0,       4,-999.0,19950601,2325, -20.0008,   48.9177,   232,  102.500,   21.521,   35.319,2,   35.314,2,  177.400,2,  176.400,2,    4.420,2,    3.930,2,    0.050,2,    0.410,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,I03_1995_bot_clean_hy1 (merged),    562,   1,-999.0,       3,-999.0,19950601,2325, -20.0008,   48.9177,   232,  152.500,   20.123,   35.400,2,   35.398,2,  164.400,2,  164.500,2,    6.070,2,    6.190,2,    0.010,2,    0.540,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,I03_1995_bot_clean_hy1 (merged),    562,   1,-999.0,       2,-999.0,19950601,2325, -20.0008,   48.9177,   232,  202.200,   18.146,   35.500,2,   35.496,2,  166.800,2,  167.900,2,    7.310,2,    7.220,2,    0.000,2,    0.610,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,I03_1995_bot_clean_hy1 (merged),    562,   1,-999.0,       1,-999.0,19950601,2325, -20.0008,   48.9177,   232,  232.800,   17.289,   35.491,2,   35.491,2,  169.800,2,  170.900,2,    7.510,2,    7.600,2,    0.010,2,    0.650,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,I03_1995_bot_clean_hy1 (merged),    561,   1,-999.0,      17,-999.0,19950601,2125, -20.0005,   48.9905,  1023,    7.400,   26.166,   35.034,2,   35.031,2,  205.500,2,  206.700,2,    2.470,2,    0.100,2,    0.000,2,    0.130,2,    1.808,2,    1.047,2, -999.000,9, -999.000,5, 2293.000,6
           NA,I03_1995_bot_clean_hy1 (merged),    561,   1,-999.0,      16,-999.0,19950601,2125, -20.0005,   48.9905,  1023,   52.200,   25.815,   35.100,2,   35.088,2,  221.000,2,  206.700,2,    2.470,2,    0.100,2,    0.000,2,    0.130,2, -999.000,9, -999.000,9, -999.000,9, -999.000,5, 2294.000,2
           NA,I03_1995_bot_clean_hy1 (merged),    561,   1,-999.0,      15,-999.0,19950601,2125, -20.0005,   48.9905,  1023,  102.900,   22.355,   35.273,2,   35.271,2,  193.300,2,  186.100,2,    3.720,2,    2.240,2,    0.080,2,    0.320,2,    2.028,2,    1.128,2, -999.000,9, -999.000,5, 2312.000,2
