BOTTLE,20142018JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.2.1 December 4, 2013) on 2014/08/18 11:19:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20143417JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.2.1 December 4, 2013) on 2014/08/17 16:33:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140817CCHSIOMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140514CCHSIOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Original header:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Merged parameters: DELC13, DELC13_FLAG_W, DELHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# STATION:638 CASTNO:1 SAMPNO:30 probably has swapped data with STATION:638 CASTNO:2 SAMPNO:20 for TCARBN and ALKALI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# changed [STATION:680 CASTNO:1 SAMPNO:10] and [STNNBR:586 CASTNO:1 SAMPNO:2] delhe3 values from 34255.30 and 13666.70, respectively, to -999.00 and flags from 4 to 9. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 20070621WHPSIOdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: 20070621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: merge4   Thu Jun 21 12:13:12 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: i04su.txt   Wed Jun 20 11:37:14 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,,,UMOL/KG,,UMOL/KG,
    316N145_9,     I04,610,1,5,5,2,19950619,1752,-24.6655,35.3653,117,3.8,23.1718,35.453,2,35.4512,2,206.6,2,207.3,2,2.59,2,0.4,2,0.12,2,0.2,2,-999,9,-999,9,-999,9,1992.1,2,2324.2,2
    316N145_9,     I04,610,1,4,4,2,19950619,1752,-24.6655,35.3653,117,31.6,23.0981,35.4489,2,35.4469,2,206.3,2,206.5,2,2.59,2,0.5,2,0.12,2,0.21,2,-999,9,-999,9,-999,9,1993.3,2,2325.7,2
    316N145_9,     I04,610,1,3,3,2,19950619,1752,-24.6655,35.3653,117,56.3,23.1043,35.4484,2,35.4477,2,206.2,2,206.2,2,2.58,2,0.54,2,0.13,2,0.21,2,-999,9,-999,9,-999,9,1994.4,2,2323.8,2
    316N145_9,     I04,610,1,2,2,2,19950619,1752,-24.6655,35.3653,117,81.2,23.0944,35.448,2,35.4465,2,205.8,2,205.9,2,2.58,2,0.54,2,0.13,2,0.21,2,-999,9,-999,9,-999,9,1994.4,2,2325.1,2
    316N145_9,     I04,610,1,1,1,2,19950619,1752,-24.6655,35.3653,117,112.7,19.0593,35.3771,2,35.3677,2,164,2,164.1,2,7.44,2,7.61,2,0.06,2,0.65,2,-999,9,-999,9,-999,9,2073.4,6,2326.3,2
    316N145_9,     I04,609,1,11,11,2,19950619,1644,-24.6672,35.4873,297,3.3,23.8247,35.4681,2,35.4664,2,207.4,2,207.2,2,3.04,2,0.17,2,0.02,2,0.16,2,-999,9,-999,9,-999,9,1984.2,6,2321.6,6
    316N145_9,     I04,609,1,10,10,2,19950619,1644,-24.6672,35.4873,297,23.6,23.8317,35.4678,2,35.4678,2,207.6,2,207.4,2,2.84,2,0.17,2,0.02,2,0.16,2,-999,9,-999,9,-999,9,1983.5,2,2326.9,2
    316N145_9,     I04,609,1,9,9,2,19950619,1644,-24.6672,35.4873,297,43.9,23.8251,35.4744,2,35.4721,2,205.4,2,207.3,2,2.83,2,0.16,2,0.02,2,0.16,2,-999,9,-999,9,-999,9,1984.4,2,2322.1,2
    316N145_9,     I04,609,1,8,8,2,19950619,1644,-24.6672,35.4873,297,63.9,23.7287,35.4799,2,35.4788,2,205.7,2,206.5,2,2.83,2,0.22,2,0.01,2,0.16,2,-999,9,-999,9,-999,9,1986.3,2,2325.5,2
    316N145_9,     I04,609,1,7,7,2,19950619,1644,-24.6672,35.4873,297,83.1,23.5363,35.472,2,35.4699,2,205.8,2,204,2,3.02,2,0.4,2,0.03,2,0.18,2,-999,9,-999,9,-999,9,1990.6,2,2321.5,2
    316N145_9,     I04,609,1,6,6,2,19950619,1644,-24.6672,35.4873,297,104.2,21.754,35.3986,2,35.3882,2,169.7,2,177.4,2,4.75,2,3.58,2,0.14,2,0.42,2,-999,9,-999,9,-999,9,2027.9,2,2317.3,2
    316N145_9,     I04,609,1,5,5,2,19950619,1644,-24.6672,35.4873,297,128.5,20.0054,35.3868,2,35.3794,2,154.1,2,158.2,2,6.88,2,7.14,2,0.03,2,0.64,2,-999,9,-999,9,-999,9,2065.6,2,2322.6,2
    316N145_9,     I04,609,1,4,4,2,19950619,1644,-24.6672,35.4873,297,151.4,17.8535,35.3937,2,35.3924,2,151.9,2,151.9,2,9.2,2,9.77,2,0,2,0.81,2,-999,9,-999,9,-999,9,2094.8,2,2321.4,2
    316N145_9,     I04,609,1,3,3,2,19950619,1644,-24.6672,35.4873,297,199.9,15.8924,35.366,2,35.3642,2,164.3,2,164.1,2,9.78,2,10.83,2,0,2,0.88,2,-999,9,-999,9,-999,9,2106.5,2,2326.8,2
    316N145_9,     I04,609,1,2,2,2,19950619,1644,-24.6672,35.4873,297,246.9,14.4944,35.296,2,35.2924,2,173.4,2,173.2,2,9.78,2,11.69,2,0.01,2,0.94,2,-999,9,-999,9,-999,9,2117.7,2,2322.1,6
    316N145_9,     I04,609,1,1,1,2,19950619,1644,-24.6672,35.4873,297,292.3,13.0097,35.1755,2,35.184,2,185.2,2,184.6,2,9.78,2,12.75,2,0.01,2,1,2,-999,9,-999,9,-999,9,2118.1,2,2319.9,2
    316N145_9,     I04,608,1,13,13,2,19950619,1545,-24.6697,35.5523,591,3.8,23.7334,35.4954,2,35.4953,2,207.6,2,208.6,2,2.76,2,0.13,2,0.02,2,0.15,2,-999,9,-999,9,-999,9,1984.1,6,2323.2,2
    316N145_9,     I04,608,1,12,12,2,19950619,1545,-24.6697,35.5523,591,23.8,23.7374,35.4965,2,35.4955,2,-999,3,209,2,2.75,2,0.13,2,0.02,2,0.14,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,11,11,2,19950619,1545,-24.6697,35.5523,591,43.5,23.7441,35.4986,2,35.4971,2,-999,3,208.8,2,2.73,2,0.13,2,0.02,2,0.14,2,-999,9,-999,9,-999,9,1984,2,2330.4,2
    316N145_9,     I04,608,1,10,10,2,19950619,1545,-24.6697,35.5523,591,64.6,23.7483,35.5033,2,35.5026,2,208.5,2,208.4,2,2.52,2,0.13,2,0.02,2,0.15,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,9,9,2,19950619,1545,-24.6697,35.5523,591,83,23.7453,35.5087,2,35.5077,2,208.1,2,208.2,2,2.51,2,0.18,2,0.02,2,0.15,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,8,8,2,19950619,1545,-24.6697,35.5523,591,103.8,22.5453,35.3883,2,35.3977,2,194.6,2,183.8,2,4.04,2,2.39,2,0.11,2,0.34,2,-999,9,-999,9,-999,9,2015.7,2,2318.5,2
    316N145_9,     I04,608,1,7,7,2,19950619,1545,-24.6697,35.5523,591,154,17.7999,35.4674,2,35.467,2,165.9,2,167.4,2,7.3,2,7.51,2,0.01,2,0.65,2,-999,9,-999,9,-999,9,-999,9,-999,9
    316N145_9,     I04,608,1,6,6,2,19950619,1545,-24.6697,35.5523,591,205.1,16.0443,35.4329,2,35.4313,2,177.6,2,175.4,2,8.06,2,8.73,2,0,2,0.74,2,-999,9,-999,9,-999,9,-999,9,-999,9
