BOTTLE,20205529JOAExport
# Exported from JOA (5.4.0 Beta 1.0 October 2nd, 2017) on 2020/10/29 11:54:55
#BOTTLE,20111103CCHDOSIOCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#edits to parameter and unit mnemonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20080908JAMSTECIORGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Software_Version: whp_btl_exchange.rb_v1.61 (ogc_group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ORIGINAL_SUM_FILE: sum_leg5_050418.csv Mon Apr 18 10:25:32 +0900 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ORIGINAL_HYD_FILE: sea_leg5_080603.csv Tue Jun 03 13:20:34 +0900 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DEPTH_TYPE: COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EVENT_CODE: BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,     I03,    562,   1,      36,   12024,  2,20031219,0655, -20.0042,   48.9142,   233,-999.0,     10.3,  26.9223,  34.5166,2,  34.5358,2,   196.98,1,   207.13,2,     2.77,2,    -0.01,2,     0.01,2,     0.13,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,     I03,    562,   1,      35,   12023,  2,20031219,0655, -20.0042,   48.9142,   233,-999.0,     50.1,  24.5288,  34.8429,2,  34.8376,2,   195.84,1,   205.95,2,     2.37,2,     0.40,2,     0.03,2,     0.18,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,     I03,    562,   1,      34,   12022,  2,20031219,0655, -20.0042,   48.9142,   233,-999.0,    102.1,  21.1327,  35.1993,2,  35.1922,2,   160.97,1,   169.06,2,     5.68,2,     5.50,2,     0.10,2,     0.51,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,     I03,    562,   1,      18,   12042,  2,20031219,0655, -20.0042,   48.9142,   233,-999.0,    152.2,  19.8877,  35.3136,2,  35.3111,2,   151.63,1,   158.07,2,     7.37,2,     7.61,2,     0.04,2,     0.64,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,     I03,    562,   1,      17,   12041,  2,20031219,0655, -20.0042,   48.9142,   233,-999.0,    201.0,  18.4857,  35.4247,2,  35.4227,2,   149.57,1,   156.08,2,     8.52,2,     8.79,2,     0.02,2,     0.72,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,     I03,    562,   1,      16,   12040,  2,20031219,0655, -20.0042,   48.9142,   233,-999.0,    222.5,  17.7762,  35.4743,2,  35.4640,2,   153.26,1,   159.16,2,     8.68,2,     8.85,2,     0.03,2,     0.72,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,     I03,    561,   1,      36,   12024,  2,20031219,0808, -20.0075,   48.9883,  1290,-999.0,     10.6,  27.4284,  34.5165,2,  34.5150,2,   195.62,1,   204.75,2,     2.38,2,    -0.02,2,     0.01,2,     0.12,2,    1.687,2,    1.010,2, -999.000,9, 1939.700,2, 2261.200,2
           NA,     I03,    561,   1,      35,   12023,  2,20031219,0808, -20.0075,   48.9883,  1290,-999.0,     49.3,  24.5223,  34.8361,2,  34.8373,2,   207.32,1,   217.05,2,     1.83,2,     0.01,2,     0.00,2,     0.12,2,    1.918,2,    1.140,2, -999.000,9, 1959.900,6, 2281.100,2
           NA,     I03,    561,   1,      34,   12022,  2,20031219,0808, -20.0075,   48.9883,  1290,-999.0,    100.5,  22.6550,  35.0825,2,  35.0892,2,   185.42,1,   194.15,2,     2.74,2,     1.76,2,     0.06,2,     0.26,2,    1.975,2,    1.166,2, -999.000,9, 1999.600,2, 2296.700,6
