BOTTLE,20141918JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.2.1 December 4, 2013) on 2014/08/18 11:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20144417JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.2.1 December 4, 2013) on 2014/08/17 16:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140817CCHSIOMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20111103CCHDOSIOCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#edits to parameter and unit mnemonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20080908JAMSTECIORGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Software_Version: whp_btl_exchange.rb_v1.61 (ogc_group),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ORIGINAL_SUM_FILE: sum_leg5_050418.csv Mon Apr 18 10:25:32 +0900 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ORIGINAL_HYD_FILE: sea_leg5_080603.csv Tue Jun 03 13:20:34 +0900 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DEPTH_TYPE: COR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EVENT_CODE: BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,,,UMOL/KG,,UMOL/KG,
 49NZ20031209,     I04,610,1,36,12024,2,20031213,902,-24.667,35.3647,124,10.8,27.2233,35.1372,2,35.1363,2,191.84,1,204.37,2,1.55,2,-0.02,2,0,2,0.13,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,610,1,35,12023,2,20031213,902,-24.667,35.3647,124,50.1,22.5872,35.2416,2,35.2378,2,171.56,1,181.97,2,4.58,2,3.45,2,0.44,2,-999,4,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,610,1,34,12022,2,20031213,902,-24.667,35.3647,124,100.9,19.2469,35.3052,2,35.2991,2,145.46,1,153.15,2,8.73,2,8.99,2,0.36,2,0.76,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,610,1,33,12015,2,20031213,902,-24.667,35.3647,124,110.8,18.8247,35.3218,2,35.3123,2,140.36,1,147.62,2,9.49,2,9.76,2,0.36,2,0.8,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,609,1,36,12024,2,20031213,1012,-24.6677,35.4855,300,10.2,27.3058,35.158,2,35.16,2,192.73,1,207.14,2,1.54,2,-0.05,2,0,2,0.11,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,609,1,35,12023,2,20031213,1012,-24.6677,35.4855,300,51.2,24.5728,35.1929,2,35.1936,2,188.05,1,201.74,2,2.73,2,0.41,2,0.33,2,0.22,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,609,1,34,12022,2,20031213,1012,-24.6677,35.4855,300,100.5,19.6463,35.3499,2,35.3499,2,138.71,1,147.79,2,7.96,2,9.45,2,0.06,2,0.74,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,609,1,33,12015,2,20031213,1012,-24.6677,35.4855,300,150.3,17.197,35.3683,2,35.3659,2,134.11,1,142.44,2,10.54,2,12.28,2,0.02,2,0.91,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,609,1,18,12042,2,20031213,1012,-24.6677,35.4855,300,199.6,15.5586,35.3827,2,35.3776,2,150.65,1,157.17,2,9.87,2,11.93,2,0.01,2,0.91,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,609,1,17,12041,2,20031213,1012,-24.6677,35.4855,300,249.2,14.5708,35.3033,2,35.298,2,154.67,1,161.27,2,10.34,2,13,2,0.01,2,0.97,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,609,1,16,12040,2,20031213,1012,-24.6677,35.4855,300,286.7,13.0988,35.1924,2,35.2034,2,169.85,1,174.86,2,9.98,2,13.58,2,0.04,2,1.01,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,36,12024,2,20031213,1127,-24.672,35.5488,588,8.4,27.3,35.1942,2,35.198,2,193.42,1,203.9,2,1.59,2,-0.05,2,0,2,0.11,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,35,12023,2,20031213,1127,-24.672,35.5488,588,50.1,25.045,35.1912,2,35.1933,2,197.64,1,208.68,2,2.02,2,-0.05,2,0.01,2,0.16,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,34,12022,2,20031213,1127,-24.672,35.5488,588,101.4,18.7771,35.3255,2,35.3208,2,137.5,1,144.04,2,9.18,2,10.61,2,0.07,2,0.81,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,33,12015,2,20031213,1127,-24.672,35.5488,588,149.5,16.4869,35.3167,2,35.3152,2,130.91,1,136.29,2,11.8,2,13.53,2,0.02,2,1,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,32,12020,2,20031213,1127,-24.672,35.5488,588,201.4,15.32,35.377,2,35.3766,2,154.2,1,160.92,2,9.47,2,11.74,2,0.01,2,0.89,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,18,12042,2,20031213,1127,-24.672,35.5488,588,250.4,14.3435,35.3247,2,35.3153,2,165.56,1,-999,5,9.07,2,12.01,2,0.01,2,0.9,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,17,12041,2,20031213,1127,-24.672,35.5488,588,301.4,13.4846,35.2327,2,35.2315,2,164.97,1,171.59,2,10,2,13.47,2,0.01,2,1.01,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,16,12040,2,20031213,1127,-24.672,35.5488,588,399.3,12.2217,35.1039,2,35.1031,2,177.75,1,184.83,2,9.68,2,14.52,2,0.01,2,1.07,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,15,12039,2,20031213,1127,-24.672,35.5488,588,500.3,10.8227,34.938,2,34.9354,2,184.69,1,191.75,2,10.96,2,16.86,2,0.01,2,1.21,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,608,1,14,12038,2,20031213,1127,-24.672,35.5488,588,578.8,9.5898,34.8131,2,-999,3,171.95,1,180,2,16.42,2,20.35,2,0.01,2,1.45,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,607,1,36,12024,2,20031213,1320,-24.6707,35.7188,927,11,27.5915,35.2522,2,35.2559,2,192.06,1,202.51,2,1.63,2,-0.02,2,0,2,0.14,2,1.661,2,1.014,2,-999,9,1978.5,2,2301.9,2
 49NZ20031209,     I04,607,1,35,12023,2,20031213,1320,-24.6707,35.7188,927,50.6,23.1999,35.2935,2,35.2964,2,212.95,1,223.65,2,1.81,2,-0.01,2,0.01,2,0.13,2,1.988,2,1.147,2,-999,9,1992.6,6,2304.4,2
 49NZ20031209,     I04,607,1,34,12022,2,20031213,1320,-24.6707,35.7188,927,99.5,20.0303,35.392,2,35.3963,2,154.04,1,163.18,2,6.16,2,7.04,2,0.04,2,-999,4,2.04,2,1.188,2,-999,9,2070.7,2,2312.3,6
 49NZ20031209,     I04,607,1,33,12015,2,20031213,1320,-24.6707,35.7188,927,150.5,17.7272,35.5325,2,35.5338,2,158.45,1,166.51,2,6.89,2,8.07,2,0.02,2,0.66,2,2.225,2,1.249,2,-999,9,2101,2,2322.2,2
 49NZ20031209,     I04,607,1,32,12020,2,20031213,1320,-24.6707,35.7188,927,198.4,16.175,35.472,2,35.4767,2,161.66,1,171.29,2,7.64,2,9.4,2,0.01,2,0.75,2,2.359,2,1.296,2,-999,9,2114,2,2322.1,2
 49NZ20031209,     I04,607,1,31,12019,2,20031213,1320,-24.6707,35.7188,927,248.4,14.384,35.2811,2,35.2816,2,149.06,1,155.04,2,11.26,2,13.93,2,0.01,2,1.05,2,2.237,6,1.213,6,-999,9,2138.8,2,2313.4,2
 49NZ20031209,     I04,607,1,30,12018,2,20031213,1320,-24.6707,35.7188,927,300.9,13.4449,35.2442,2,35.2417,2,173.58,1,179.53,2,9.08,2,12.78,2,0.01,2,0.97,2,2.49,2,1.335,2,-999,9,2131.2,2,2312.4,2
 49NZ20031209,     I04,607,1,29,12017,2,20031213,1320,-24.6707,35.7188,927,398.8,11.887,35.0658,2,35.0672,2,184.82,1,192.65,2,8.91,2,14.48,2,0.01,2,1.07,2,2.608,2,1.371,2,-999,9,2135,2,2307.1,2
 49NZ20031209,     I04,607,1,28,12016,2,20031213,1320,-24.6707,35.7188,927,500.6,10.6119,34.8985,2,34.8946,2,207.45,1,215.39,2,6.61,2,15.19,2,0.01,2,1.11,2,2.838,2,1.461,2,-999,9,2128.4,2,2297.1,2
 49NZ20031209,     I04,607,1,27,12012,2,20031213,1320,-24.6707,35.7188,927,602.7,8.8297,34.6972,2,34.6964,2,189.71,1,197.35,2,13.98,2,21.08,2,0,2,1.48,2,2.056,2,1.067,2,-999,9,2154.4,2,2291.2,2
 49NZ20031209,     I04,607,1,26,12014,2,20031213,1320,-24.6707,35.7188,927,701.4,7.9269,34.6682,2,34.6682,2,160.52,1,166.07,2,26.43,2,25.98,2,0,2,1.83,2,1.226,2,0.687,2,-999,9,2185.7,6,2302.5,2
 49NZ20031209,     I04,607,1,23,12047,2,20031213,1320,-24.6707,35.7188,927,801.9,6.8693,34.6866,2,34.6864,2,130.66,1,134.13,2,44.56,2,30.76,2,0,2,2.2,2,0.577,2,0.358,2,-999,9,2226.7,2,2316.7,2
 49NZ20031209,     I04,607,1,25,12013,2,20031213,1320,-24.6707,35.7188,927,802.5,6.8621,34.687,2,34.687,2,130.51,1,134.2,2,44.58,2,30.78,2,0,2,2.2,2,0.579,2,0.347,2,-999,9,2226,2,2318.9,6
 49NZ20031209,     I04,607,1,24,12048,2,20031213,1320,-24.6707,35.7188,927,921.2,5.2792,34.6164,2,34.6153,2,139.16,1,142.7,2,55.62,2,32.76,2,0,2,2.34,2,0.436,2,0.277,2,-999,9,2242.1,2,2323.2,2
 49NZ20031209,     I04,606,1,36,12024,2,20031213,1540,-24.6713,35.8863,1207,10.5,27.9285,35.2766,2,35.28,2,190.64,1,200.98,2,1.48,2,-0.01,2,0,2,0.14,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,35,12023,2,20031213,1540,-24.6713,35.8863,1207,51.2,23.6218,35.1721,2,35.1692,2,190.82,1,200.84,2,3.07,2,0.44,2,0.06,2,0.25,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,34,12022,2,20031213,1540,-24.6713,35.8863,1207,99.9,20.695,35.2855,2,35.2897,2,143.83,1,150.63,2,7.06,2,8.22,2,0.18,2,-999,4,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,33,12015,2,20031213,1540,-24.6713,35.8863,1207,150.2,18.6133,35.6148,2,35.6166,2,191.42,1,198.76,2,3.87,2,3.58,2,0.08,2,0.37,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,32,12020,2,20031213,1540,-24.6713,35.8863,1207,200.5,17.0468,35.5638,2,35.5644,2,175.97,1,184.34,2,6.03,2,6.79,2,0.01,2,0.58,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,31,12019,2,20031213,1540,-24.6713,35.8863,1207,250.4,15.4446,35.3837,2,35.3894,2,153.27,1,160.99,2,9.49,2,11.7,2,0.01,2,-999,4,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,30,12018,2,20031213,1540,-24.6713,35.8863,1207,299.4,14.4767,35.3913,2,35.3904,2,185.95,1,193.36,2,6.07,2,9.14,2,0.01,2,0.74,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,29,12017,2,20031213,1540,-24.6713,35.8863,1207,398.7,12.2151,35.0979,2,35.0981,2,172.69,1,181.94,2,10.11,2,14.98,2,0,2,1.1,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,18,12042,2,20031213,1540,-24.6713,35.8863,1207,498.3,11.0797,34.9591,2,34.9589,2,211.47,1,220.43,2,5.18,2,13.6,2,0.01,2,1,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,17,12041,2,20031213,1540,-24.6713,35.8863,1207,600.2,9.7668,34.7925,2,34.7891,2,200.13,1,208.24,2,9.28,2,17.87,2,0,2,1.27,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,16,12040,2,20031213,1540,-24.6713,35.8863,1207,699.5,8.2242,34.6453,2,34.6492,2,182.59,1,187.93,2,18.6,2,23.34,2,0.01,2,1.63,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,15,12039,2,20031213,1540,-24.6713,35.8863,1207,800.7,7.3308,34.6587,2,34.6587,2,146.93,1,151.83,2,34.62,2,28.56,2,0,2,2.02,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,14,12038,2,20031213,1540,-24.6713,35.8863,1207,900.6,6.6754,34.658,2,34.6584,2,136.28,1,140.21,2,43.93,2,30.69,2,0,2,2.19,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,13,12037,2,20031213,1540,-24.6713,35.8863,1207,1000.6,5.7357,34.6789,2,34.6789,2,124.22,1,127.39,2,58.1,2,33.16,2,0,2,2.38,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,606,1,12,12036,2,20031213,1540,-24.6713,35.8863,1207,1203.3,4.2396,34.64,2,-999,4,139.32,1,142.87,2,68.9,2,-999,4,0,2,2.42,2,-999,9,-999,9,-999,9,-999,9,-999,9
 49NZ20031209,     I04,605,1,36,12024,2,20031213,1833,-24.6723,35.994,1623,10.3,28.2595,35.2688,2,35.2689,2,189.72,1,199.58,2,1.6,2,0.05,2,0,2,0.13,2,1.708,2,0.96,2,-999,9,1977.9,2,2303.7,2
 49NZ20031209,     I04,605,1,35,12023,2,20031213,1833,-24.6723,35.994,1623,48.4,23.9537,35.147,2,35.1504,2,193.38,1,205.25,2,2.83,2,0.11,2,0.01,2,0.22,2,1.922,2,1.051,2,-999,9,2001,6,2300.3,2
 49NZ20031209,     I04,605,1,34,12022,2,20031213,1833,-24.6723,35.994,1623,99.9,20.5832,35.2757,2,35.278,2,140.85,1,147.91,2,7.23,2,8.62,2,0.13,2,0.7,2,2.026,2,1.075,2,-999,9,2076.9,2,2305.6,6
 49NZ20031209,     I04,605,1,33,12015,2,20031213,1833,-24.6723,35.994,1623,150.7,18.5729,35.6103,2,35.6089,2,182.75,1,191.3,2,4.48,2,4.3,2,0.04,2,0.42,2,2.381,2,1.29,2,-999,9,2075.7,2,2326.8,2
 49NZ20031209,     I04,605,1,32,12020,2,20031213,1833,-24.6723,35.994,1623,200.6,16.8339,35.6356,2,35.6359,2,195.81,1,205.17,2,3.74,2,4.5,2,0.01,2,0.43,2,2.644,2,1.408,2,-999,9,2086.6,2,2333.2,2
 49NZ20031209,     I04,605,1,31,12019,2,20031213,1833,-24.6723,35.994,1623,251.7,15.7572,35.5462,2,35.5438,2,192.63,1,202.15,2,4.16,2,6.14,2,0,2,0.54,2,2.719,6,1.438,6,-999,9,2100.8,2,2325.5,2
 49NZ20031209,     I04,605,1,30,12018,2,20031213,1833,-24.6723,35.994,1623,300.9,14.2022,35.3605,2,35.3628,2,185.62,1,194.88,2,6.24,2,9.57,2,0,2,0.75,2,2.745,2,1.416,2,-999,9,2117,2,2316,2
 49NZ20031209,     I04,605,1,29,12017,2,20031213,1833,-24.6723,35.994,1623,401.5,12.3478,35.1126,2,35.1089,2,172.43,1,180.19,2,10.28,2,14.94,2,0,2,1.09,2,2.604,2,1.3,2,-999,9,2140.8,2,2307.8,2
 49NZ20031209,     I04,605,1,28,12016,2,20031213,1833,-24.6723,35.994,1623,500.6,11.025,34.9541,2,-999,3,197.33,1,200.16,2,8.65,2,15.51,2,0,2,1.13,2,2.704,2,1.355,2,-999,9,2135.2,2,2303.8,2
 49NZ20031209,     I04,605,1,18,12042,2,20031213,1833,-24.6723,35.994,1623,601.3,9.7778,34.7908,2,34.7905,2,203.49,1,211.07,2,8.73,2,17.46,2,0,2,1.25,2,2.706,2,1.315,2,-999,9,2136.1,2,2294.3,2
 49NZ20031209,     I04,605,1,17,12041,2,20031213,1833,-24.6723,35.994,1623,701.4,8.041,34.6136,2,34.614,2,190.75,1,198.09,2,16.43,2,22.81,2,0,2,1.6,2,1.979,2,0.955,2,-999,9,2159.1,6,2291.4,2
 49NZ20031209,     I04,605,1,16,12040,2,20031213,1833,-24.6723,35.994,1623,800.9,7.2372,34.6114,2,-999,3,162.89,1,166.87,2,29.87,2,27.41,2,0,2,1.92,2,1.183,2,0.573,2,-999,9,2192.1,2,2302.2,6
 49NZ20031209,     I04,605,1,15,12039,2,20031213,1833,-24.6723,35.994,1623,900.5,6.1725,34.5647,2,34.5675,2,158.59,1,163.31,2,37.78,2,29.82,2,0,2,2.09,2,1.009,2,0.482,2,-999,9,2209,2,2304.9,2
 49NZ20031209,     I04,605,1,14,12038,2,20031213,1833,-24.6723,35.994,1623,1000.3,5.4065,34.609,2,34.6107,2,139.77,1,143.59,2,53.5,2,32.62,2,0,2,2.32,2,0.533,6,0.26,6,-999,9,2237.7,2,2323.6,2
