BOTTLE,20215220JOAExport
# Exported from JOA (5.5.0 Final September 29th, 2020) on 2021/02/19 16:51:55
#BOTTLE,20195831JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.4.0 Beta 1.0 October 10th, 2017) on 2019/05/31 10:58:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20060509WHPSIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: May 9,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: i05phy.txt   Tue May  9 10:14:00 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: i05psu.txt   Fri Jun 20 14:08:21 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,      I5,      3,   1,-999.0,      13,  2,19871113,2035, -31.3750,   30.8350,  2930,   14.300,   23.110,   35.390,2,   35.392,2,  224.100,2,  228.000,2,    2.140,2,    0.200,2,    0.000,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,      12,  2,19871113,2035, -31.3750,   30.8350,  2930,  201.500,   16.455,   35.570,2,   35.558,2,  210.200,2,  209.300,2,    4.020,2,    5.180,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,      11,  2,19871113,2035, -31.3750,   30.8350,  2930,  402.400,   13.574,   35.270,2,   35.274,2,  214.500,2,  217.600,2,    4.530,2,    9.180,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,      10,  2,19871113,2035, -31.3750,   30.8350,  2930,  597.800,   11.187,   34.940,2,   34.951,2,  215.700,2,  214.600,2,    6.930,2,   14.660,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,       9,  2,19871113,2035, -31.3750,   30.8350,  2930,  803.800,    8.332,   34.670,2,   34.673,2,  196.600,2,  195.500,2,   17.710,2,   22.870,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,       7,  2,19871113,2035, -31.3750,   30.8350,  2930, 1402.500,    3.334,   34.590,2,   34.580,2,  167.300,2,  169.900,2,   67.820,2,   33.430,2,    0.000,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,       6,  2,19871113,2035, -31.3750,   30.8350,  2930, 1800.600,    2.808,   34.720,2,   34.723,2,  177.700,2,  176.000,2,   78.930,2,   31.770,2,    0.000,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,       5,  2,19871113,2035, -31.3750,   30.8350,  2930, 2199.900,    2.529,   34.770,2,   34.778,2,  198.600,2,  201.200,2,   72.280,2,   29.320,2,    0.000,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,       4,  2,19871113,2035, -31.3750,   30.8350,  2930, 2603.400,    2.373,   34.800,2,   34.808,2,  215.100,2,  215.100,2,   66.310,2,   27.560,2,    0.000,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,       2,  2,19871113,2035, -31.3750,   30.8350,  2930, 2949.100,    2.042,   34.800,2,   34.810,2,  222.900,2,  223.300,2,   72.330,2,   27.460,2,    0.000,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      3,   1,-999.0,       3,  2,19871113,2035, -31.3750,   30.8350,  2930, 2949.700,    2.042,   34.800,2,   34.807,2,  222.900,2,  221.600,2,   72.490,2,   27.460,2,    0.000,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      4,   1,-999.0,      14,  2,19871114,0125, -31.2600,   30.6550,  2925,   11.900,   23.366,   35.360,2,   35.367,2,  229.800,2,  223.600,2,    2.250,2,    0.290,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      4,   1,-999.0,      13,  2,19871114,0125, -31.2600,   30.6550,  2925,   79.300,   18.873,   35.600,2,   35.599,2,  219.500,2,  214.100,2,    3.790,2,    2.640,2,    0.240,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      4,   1,-999.0,      12,  2,19871114,0125, -31.2600,   30.6550,  2925,  200.400,   16.454,   35.560,2,   35.556,2,  215.000,2,  213.600,2,    4.130,2,    5.270,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      4,   1,-999.0,      11,  2,19871114,0125, -31.2600,   30.6550,  2925,  500.400,   11.775,   35.040,2,   35.034,2,  216.200,2,  220.700,2,    5.670,2,   12.800,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
           NA,      I5,      4,   1,-999.0,      10,  2,19871114,0125, -31.2600,   30.6550,  2925,  698.900,    9.474,   34.800,2,   34.798,2,  178.300,2,  181.200,2,   18.290,2,   21.890,2,    0.010,2, -999.000,5, -999.000,5, -999.000,5, -999.000,9, -999.000,9, -999.000,9
