BOTTLE,20140514CCHSIOSE
# Original header:
# Merged parameters: TRITUM,TRITER,DELHER,TCARBN_FLAG_W,TCARBN,ALKALI_FLAG_W,DELC13_FLAG_W
# 20030218WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20030218
#original HYD file: i05ehy.txt   Tue Feb 18 10:11:33 2003
#original SUM file: ../ORIG/i05esu.txt   Wed Feb 13 09:01:40 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,
  316N145_7,       I08N,278,1,1,1,2,19950310,617,6.502,79.5928,1275,1175,5.9259,34.9077,2,-999,9,58.1,4,55.2,2,95.19,2,37.7,2,0,2,2.8,2,-999,5,-999,5,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,2,2,2,19950310,617,6.502,79.5928,1275,1175.6,5.9193,34.9071,2,-999,9,56.6,4,55.2,2,95.21,2,37.7,2,0.01,2,2.78,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,3,3,2,19950310,617,6.502,79.5928,1275,1175.8,5.9168,34.9071,2,-999,9,56.6,4,54.9,2,95.01,2,37.69,2,0,2,2.79,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,4,4,2,19950310,617,6.502,79.5928,1275,1175.9,5.9145,34.9072,2,-999,9,56.6,4,55.7,2,95.03,2,37.74,2,0.01,2,2.79,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,5,5,2,19950310,617,6.502,79.5928,1275,1176.2,5.9091,34.9068,2,-999,9,57.1,4,54.7,2,95.04,2,37.68,2,0.01,2,2.79,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,6,6,2,19950310,617,6.502,79.5928,1275,1176.2,5.904,34.9065,2,-999,9,57.1,4,54.9,2,95.27,2,37.59,2,0,2,2.79,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,7,7,2,19950310,617,6.502,79.5928,1275,1176.3,5.8982,34.9062,2,-999,9,57.1,4,55.2,2,95.08,2,37.64,2,0,2,2.78,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,8,8,2,19950310,617,6.502,79.5928,1275,1176.4,5.8928,34.9058,2,-999,9,57.1,4,55.1,2,95.51,2,37.68,2,0,2,2.79,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,9,9,2,19950310,617,6.502,79.5928,1275,1176.6,5.8899,34.9061,2,-999,9,57.1,4,55.2,2,95.31,2,37.68,2,0,2,2.79,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,10,10,2,19950310,617,6.502,79.5928,1275,1176.8,5.8869,34.9061,2,-999,9,57.1,4,55.1,2,95.12,2,37.72,2,0,2,2.81,2,-999,9,-999,9,-999,9,-999,9,-999,9
  316N145_7,       I08N,278,1,11,11,2,19950310,617,6.502,79.5928,1275,1176.9,5.8824,34.9059,2,-999,9,57.1,4,55.2,2,95.34,2,37.67,2,0,2,2.8,2,-999,9,-999,9,-999,9,-999,9,-999,9
