BOTTLE,20195431JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.4.0 Beta 1.0 October 10th, 2017) on 2019/05/31 10:54:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20100505WHPSIODBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: 20070418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: i05_74AB20020301hy.txt   Fri Mar  9 11:29:46 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: i05_74AB20020301su.txt   Tue Apr 17 11:43:05 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,DEG C,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,
  74AB20020301,     I05,14,1,158958,158958,2,20020304,1804,-31.018,30.3342,51,1.4,25.555,35.5359,2,35.5367,2,207.8,2,208.4,2,4.2,2,0.1,2,-999,9,0.14,2,-999,9,-999,9,-999,9,-999,9,2329.4,2
  74AB20020301,     I05,14,1,158957,158957,2,20020304,1804,-31.018,30.3342,51,19.3,24.523,35.5239,2,35.5241,2,202.2,2,202.3,2,5.08,2,0.98,2,-999,9,0.23,2,-999,9,-999,9,-999,9,-999,9,2326.7,2
  74AB20020301,     I05,14,1,158956,158956,2,20020304,1804,-31.018,30.3342,51,42.8,22.453,35.5048,2,35.5008,2,184.4,2,183.7,2,6.93,2,3.51,2,-999,9,0.37,2,-999,9,-999,9,-999,9,-999,9,2323.5,2
  74AB20020301,     I05,15,1,158961,158961,2,20020304,1921,-31.042,30.3388,71,2,26.669,35.6461,2,35.6449,2,202,2,203.6,2,3.22,2,0,2,-999,9,0.09,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,15,1,158960,158960,2,20020304,1921,-31.042,30.3388,71,40.1,24.148,35.5545,2,35.5547,2,194.9,2,195.1,2,4.68,2,1.95,2,-999,9,0.25,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,15,1,158959,158959,2,20020304,1921,-31.042,30.3388,71,59.1,21.285,35.5019,2,35.5018,2,182.1,2,180.3,2,6.25,2,4.59,2,-999,9,0.44,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,16,1,158968,158968,2,20020304,2013,-31.0533,30.3647,264,0.9,26.677,35.6384,2,35.6368,2,202.9,2,207.4,2,2.93,2,0,2,-999,9,0.07,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,16,1,158967,158967,2,20020304,2013,-31.0533,30.3647,264,18.7,26.681,35.6376,2,35.636,2,203.4,2,205.6,2,2.93,2,0,2,-999,9,0.07,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,16,1,158966,158966,2,20020304,2013,-31.0533,30.3647,264,48.2,24.172,35.5633,2,35.5736,2,198.2,2,199.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,16,1,158965,158965,2,20020304,2013,-31.0533,30.3647,264,97.2,19.428,35.5748,2,35.5723,2,175.7,2,173.4,2,6.34,2,6.15,2,-999,9,0.51,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,16,1,158964,158964,2,20020304,2013,-31.0533,30.3647,264,148.1,15.08,35.3878,2,35.3999,2,187.7,2,185.1,2,8.2,2,10.05,2,-999,9,0.75,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,16,1,158963,158963,2,20020304,2013,-31.0533,30.3647,264,198.2,13.173,35.2159,2,35.2132,2,196.7,2,194.4,2,9.76,2,12.59,2,-999,9,0.9,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,16,1,158962,158962,2,20020304,2013,-31.0533,30.3647,264,257.4,11.986,35.0953,2,35.0945,2,199.8,2,198.7,2,10.45,2,14.35,2,-999,9,1.02,2,-999,9,-999,9,-999,9,-999,9,-999,9
  74AB20020301,     I05,17,1,158982,158982,2,20020304,2134,-31.0838,30.3947,1231,1.4,26.634,35.6395,2,35.6384,2,202.5,2,204,2,2.83,2,0,2,-999,9,0.08,2,-999,9,-999,9,-999,9,-999,9,2332.7,2
  74AB20020301,     I05,17,1,158981,158981,2,20020304,2134,-31.0838,30.3947,1231,38.6,26.599,35.6331,2,35.636,2,202.5,2,204,2,2.93,2,0.1,2,-999,9,0.07,2,1.71,2,1.063,2,-999,9,-999,9,2331.7,2
  74AB20020301,     I05,17,1,158980,158980,2,20020304,2134,-31.0838,30.3947,1231,72.8,20.926,35.5817,2,35.5859,2,199.5,2,200.5,2,4,2,3.26,2,-999,9,0.28,2,2.125,2,1.248,2,-999,9,-999,9,2328.6,2
  74AB20020301,     I05,17,1,158979,158979,2,20020304,2134,-31.0838,30.3947,1231,114.6,17.813,35.5528,2,35.5527,2,169,2,168.4,2,4.81,2,8.2,2,-999,9,0.62,2,-999,9,-999,9,-999,9,-999,9,2328.9,2
  74AB20020301,     I05,17,1,158978,158978,2,20020304,2134,-31.0838,30.3947,1231,244.6,13.392,35.2861,2,35.2842,2,209.4,2,209,2,6.44,2,10.15,2,-999,9,0.75,2,2.782,2,1.514,2,-999,9,-999,9,2317.8,2
  74AB20020301,     I05,17,1,158977,158977,2,20020304,2134,-31.0838,30.3947,1231,345.9,11.41,35.0133,2,35.0092,2,203.9,2,203.9,2,9.37,2,15.04,2,-999,9,1.04,2,-999,9,-999,9,-999,9,-999,9,2307.1,2
  74AB20020301,     I05,17,1,158976,158976,2,20020304,2134,-31.0838,30.3947,1231,445.8,9.941,34.8374,2,34.8365,2,199.6,2,199.1,2,13.38,2,18.65,2,-999,9,1.29,2,2.24,2,1.162,2,-999,9,-999,9,2302.7,2
  74AB20020301,     I05,17,1,158975,158975,2,20020304,2134,-31.0838,30.3947,1231,545.2,8.859,34.7371,2,34.7359,2,183.3,2,183.6,2,20.51,2,22.85,2,-999,9,1.62,2,-999,9,-999,9,-999,9,-999,9,2303.9,2
  74AB20020301,     I05,17,1,158974,158974,2,20020304,2134,-31.0838,30.3947,1231,639.1,8.036,34.7057,2,34.7042,2,173.2,2,172.9,2,29.2,2,25.29,2,-999,9,1.78,2,-999,9,-999,9,-999,9,-999,9,2308.2,2
  74AB20020301,     I05,17,1,158973,158973,2,20020304,2134,-31.0838,30.3947,1231,731.1,7.137,34.6644,2,34.6627,2,160.8,2,159,2,38.09,2,28.22,2,-999,9,1.96,2,-999,9,-999,9,-999,9,-999,9,2312.9,2
  74AB20020301,     I05,17,1,158972,158972,2,20020304,2134,-31.0838,30.3947,1231,819.8,6.423,34.6497,2,34.648,2,150.9,2,151.2,2,46.68,2,30.37,2,-999,9,2.11,2,0.681,6,0.351,6,-999,9,-999,9,2320,2
  74AB20020301,     I05,17,1,158971,158971,2,20020304,2134,-31.0838,30.3947,1231,902.6,5.219,34.6318,2,34.6323,2,146.8,2,146,2,58.89,2,32.33,2,-999,9,2.28,2,-999,9,-999,9,-999,9,-999,9,2330.9,2
