BOTTLE,20190731JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.4.0 Beta 1.0 October 10th, 2017) on 2019/05/31 11:07:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20150626SIOCCHRJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# From 33RR20090320.exc.csv (Bob Key) submitted on 20150420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Merged parameters: TRITUM, TRITUM_FLAG_W, HELIUM_FLAG_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 20150310CCHSIOCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Merged parameters: HELIUM, HELIER, HELIUM_FLAG_W, DELHE3, DELHER, DELHE3_FLAG_W, NEON, NEONER, NEON_FLAG_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# station 69, cast 1, bottle 15 changed SALNTY value to -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 20140120CCHSIOCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Merged parameters: DELC14, C14ERR, DELC14_FLAG_W, DELC13, DELC13_FLAG_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 20140111SIOCCHRJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Added citation instructions for data use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20121205CCHDOSIOCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2012-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# merged PH_TOT with quality flags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20120308CCHDOSIOCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : Justin Fields merge_exchange.rb original files copied from HTML directory: 2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
