BOTTLE,20191223JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140806SIOCCHRJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
35MF19960220,       I06S,2,1,19,2,19960221,0,-33.2493,28.069,628,2.3,25.3721,35.2751,2,-999,9,170.9,2,1.36,2,0.18,2,-999,9,0.14,2,1.903,2,1.098,2,1972.2,2,2311.8,2
35MF19960220,       I06S,2,1,18,2,19960221,0,-33.2493,28.069,628,10.2,24.9438,35.2743,2,-999,9,170.5,2,4.07,2,0.18,2,-999,9,0.12,2,1.9,2,1.196,2,1974.9,2,2311.8,2
35MF19960220,       I06S,2,1,17,2,19960221,0,-33.2493,28.069,628,20,24.0048,35.2711,2,-999,9,167.8,2,4.07,2,0.18,2,-999,9,0.17,2,2.058,2,2.138,3,1986.3,2,2313.9,2
35MF19960220,       I06S,2,1,16,2,19960221,0,-33.2493,28.069,628,39.8,22.8213,35.3351,2,-999,9,159.4,2,2.71,2,1.55,2,-999,9,0.26,2,2.031,2,1.347,2,2006.4,2,2317,2
35MF19960220,       I06S,2,1,15,2,19960221,0,-33.2493,28.069,628,58.5,21.8382,35.3766,2,-999,9,148,2,4.06,2,3.8,2,-999,9,0.41,2,1.988,2,1.056,2,2025.1,2,2319,2
35MF19960220,       I06S,2,1,14,2,19960221,0,-33.2493,28.069,628,79.2,20.3721,35.4187,2,-999,9,137.3,2,4.06,2,6.35,2,-999,9,0.53,2,2.037,2,1.081,2,2051.2,2,2321.5,2
35MF19960220,       I06S,2,1,13,2,19960221,0,-33.2493,28.069,628,98,18.6701,35.4223,2,-999,9,132.6,2,6.09,2,8.5,2,-999,9,0.69,2,2.343,3,1.037,2,2076,2,2324.2,2
35MF19960220,       I06S,2,1,12,2,19960221,0,-33.2493,28.069,628,123.7,17.1494,35.389,2,-999,9,131.4,2,10.33,3,9.98,2,-999,9,0.79,2,2.051,2,1.037,2,2096.6,2,2325.9,2
35MF19960220,       I06S,2,1,11,2,19960221,0,-33.2493,28.069,628,147.4,16.0113,35.3754,2,-999,9,135.7,2,9.64,2,10.57,2,-999,9,0.84,2,2.131,2,1.017,2,2103.1,2,2326.8,2
35MF19960220,       I06S,2,1,10,2,19960221,0,-33.2493,28.069,628,171.2,15.1778,35.3741,2,-999,9,145.2,2,6.88,2,10.27,2,-999,9,0.8,2,2.141,2,1.071,2,2103.6,2,2327.1,2
35MF19960220,       I06S,2,1,9,2,19960221,0,-33.2493,28.069,628,197.9,13.8203,35.2493,2,-999,9,150.6,2,-999,4,11.93,2,-999,9,0.92,2,2.168,2,1.058,2,2112.3,2,2321.2,2
35MF19960220,       I06S,2,1,8,2,19960221,0,-33.2493,28.069,628,246.4,13.0515,35.1984,2,-999,9,159.4,2,-999,4,12.13,2,-999,9,0.94,2,2.342,3,1.097,2,2113,2,2319.7,2
35MF19960220,       I06S,2,1,7,2,19960221,0,-33.2493,28.069,628,297.9,11.6039,35.0912,2,-999,9,166.1,2,-999,4,14.28,2,-999,9,1.08,2,2.058,2,0.997,2,2116.8,2,2311.5,2
35MF19960220,       I06S,2,1,6,2,19960221,0,-33.2493,28.069,628,348.4,10.8671,34.9277,2,-999,9,165.2,2,-999,4,16.04,2,-999,9,1.18,2,1.987,2,0.916,2,2122.6,2,2310.7,2
35MF19960220,       I06S,2,1,5,2,19960221,0,-33.2493,28.069,628,397,10.4433,34.8971,2,-999,9,158.2,2,-999,4,18.1,2,-999,9,1.37,2,1.72,2,0.532,2,2132.7,2,2309.9,2
35MF19960220,       I06S,2,1,4,2,19960221,0,-33.2493,28.069,628,451.6,8.8678,34.771,2,-999,9,149.6,2,-999,4,22.31,2,-999,9,1.58,2,1.269,2,0.582,2,2152.7,2,2313.3,2
35MF19960220,       I06S,2,1,3,2,19960221,0,-33.2493,28.069,628,499.3,7.7728,34.6882,2,-999,9,141.4,2,-999,4,25.44,2,-999,9,1.83,2,1.055,2,0.452,2,2177,2,2317.4,2
35MF19960220,       I06S,2,1,2,2,19960221,0,-33.2493,28.069,628,549,7.0429,34.644,2,-999,9,137,2,-999,4,27.59,2,-999,9,2.09,2,0.727,2,0.313,2,2187.5,2,2316,2
35MF19960220,       I06S,2,1,1,2,19960221,0,-33.2493,28.069,628,567.9,6.8434,34.6344,2,-999,9,137.1,2,-999,4,27.98,2,-999,9,2.08,2,0.682,2,0.301,2,2189.6,2,2318.5,2
35MF19960220,       I06S,4,1,24,2,19960221,0,-33.2878,28.111,1637,1.4,26.1094,35.2412,2,-999,9,167.7,2,0,2,0,2,-999,9,0.08,2,2.105,2,1.365,2,1966.1,2,2308.6,2
35MF19960220,       I06S,4,1,23,2,19960221,0,-33.2878,28.111,1637,8.3,26.1033,35.2408,2,-999,9,167.7,2,0,2,0,2,-999,9,0.08,2,1.831,2,3.421,8,1965,2,2309.6,2
35MF19960220,       I06S,4,1,22,2,19960221,0,-33.2878,28.111,1637,18.1,26.0781,35.2481,2,-999,9,168,2,0,2,0,2,-999,9,0.08,2,1.953,2,1.661,2,1965.9,2,2309.9,2
35MF19960220,       I06S,4,1,21,2,19960221,0,-33.2878,28.111,1637,38.9,24.6247,35.4703,2,-999,9,173.7,2,0,2,0,2,-999,9,0.08,2,1.979,2,3.098,3,1980.9,2,2325.6,2
35MF19960220,       I06S,4,1,20,2,19960221,0,-33.2878,28.111,1637,59.6,22.4186,35.3538,2,-999,9,153,2,0,2,2.26,2,-999,9,0.3,2,1.924,2,1.486,2,2019,2,2319.7,2
35MF19960220,       I06S,4,1,19,2,19960221,0,-33.2878,28.111,1637,77.4,21.1694,35.4164,2,-999,9,146.7,2,4.22,2,3.96,2,-999,9,0.4,2,1.91,2,0.992,2,2035.2,2,2321.1,2
35MF19960220,       I06S,4,1,18,2,19960221,0,-33.2878,28.111,1637,97.1,19.809,35.5109,2,-999,9,148.2,2,5.63,2,4.53,2,-999,9,0.43,2,2.148,2,1.103,2,2054.2,2,2330.6,2
35MF19960220,       I06S,4,1,17,2,19960221,0,-33.2878,28.111,1637,121.8,18.0269,35.5107,2,-999,9,145.8,2,7.03,2,6.8,2,-999,9,0.58,2,2.138,2,1.221,8,2080,2,2332.9,2
35MF19960220,       I06S,4,1,16,2,19960221,0,-33.2878,28.111,1637,147.5,16.5336,35.4615,2,-999,9,143,2,7.03,2,8.69,2,-999,9,0.69,2,2.14,2,1.062,2,2090.9,2,2330.3,2
35MF19960220,       I06S,4,1,15,2,19960221,0,-33.2878,28.111,1637,172.3,15.7049,35.4339,2,-999,9,147.2,2,-999,4,8.69,2,-999,9,0.73,2,2.132,2,1.139,2,2095.9,2,2329.8,2
35MF19960220,       I06S,4,1,14,2,19960221,0,-33.2878,28.111,1637,198,15.1566,35.4162,2,-999,9,156.2,2,7.03,2,8.69,2,-999,9,0.7,2,2.272,2,1.145,2,2097.9,2,2328.7,2
35MF19960220,       I06S,4,1,13,2,19960221,0,-33.2878,28.111,1637,246.5,13.9194,35.2936,2,-999,9,157.7,2,7.03,2,10.58,2,-999,9,0.83,2,2.228,2,1.108,2,2106.1,2,2323.9,2
35MF19960220,       I06S,4,1,12,2,19960221,0,-33.2878,28.111,1637,298,13.0037,35.196,2,-999,9,162.4,2,7.19,2,11.9,2,-999,9,0.92,2,2.24,2,1.166,2,2110.5,2,2318.2,2
35MF19960220,       I06S,4,1,11,2,19960221,0,-33.2878,28.111,1637,347.5,12.0602,35.0825,2,-999,9,162.2,2,7.18,2,14.02,2,-999,9,1.05,2,2.223,2,1.022,2,2117.3,2,2314,2
