BOTTLE,20191223JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20160524SIOCCHCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
33RR20080204,       I06S,1,2,35,35,2,20080205,2207,-33.2152,28.0528,180,9.2,26.2013,35.3126,2,35.313,2,210.8,2,211.4,2,1.65,2,-0.01,2,0.01,2,0.11,2,1.716,2,1.09,2,1986.7,3,2314.3,2
33RR20080204,       I06S,1,2,33,33,2,20080205,2203,-33.2152,28.0528,180,26.2,24.3912,35.2873,2,35.2947,2,208.8,2,208.9,2,2.24,2,0.02,2,0.01,2,0.15,2,1.811,2,1.154,2,2000.4,2,2313.5,2
33RR20080204,       I06S,1,2,31,31,2,20080205,2159,-33.2152,28.0528,180,45.7,21.2364,35.3057,2,35.3028,2,183.8,2,181.2,2,4.83,2,3.89,2,0.26,2,0.42,2,2.018,2,1.235,2,2049.1,2,2315.6,2
33RR20080204,       I06S,1,2,29,29,2,20080205,2154,-33.2152,28.0528,180,76.7,17.0779,35.3085,2,35.3269,2,164.7,2,161.8,2,8.82,2,10.36,2,0.04,2,0.78,2,2.245,2,1.305,2,2105.6,2,2318.8,2
33RR20080204,       I06S,1,2,27,27,2,20080205,2149,-33.2152,28.0528,180,104,14.4796,35.2411,2,35.2471,2,173.5,2,175.5,2,9.43,2,12.25,2,0.02,2,0.92,2,2.528,2,1.395,2,2123.5,2,2318,2
33RR20080204,       I06S,1,2,1,1,2,20080205,2125,-33.2152,28.0528,180,162.4,10.9578,34.9594,2,34.9592,2,196.8,2,197.2,2,12.03,2,16.51,2,0.02,2,1.19,2,2.69,2,1.44,2,2142.8,2,2308.5,2
33RR20080204,       I06S,2,1,12,12,2,20080206,151,-33.2639,28.0498,820,69.2,19.6469,35.2404,3,35.3627,2,171.8,2,145.4,2,7.23,2,8.03,2,0.04,2,0.63,2,1.897,2,1.247,2,2094.4,2,2318.1,2
33RR20080204,       I06S,2,1,11,11,2,20080206,149,-33.2639,28.0498,820,93.2,16.6867,35.3733,3,35.4237,2,158.4,2,166.5,2,8.22,2,9.37,2,0.01,2,0.73,2,2.041,2,1.341,2,2124.5,2,2325.7,2
33RR20080204,       I06S,2,1,10,10,2,20080206,146,-33.2639,28.0498,820,139.7,14.2247,35.2362,3,35.2758,2,176.2,2,177.2,2,9.02,2,11.94,2,0.01,2,0.9,2,2.139,2,1.435,2,2139.2,2,2320.7,2
33RR20080204,       I06S,2,1,9,9,2,20080206,144,-33.2639,28.0498,820,188.5,13.1748,35.1866,3,35.2341,2,192.1,2,189,2,7.42,2,11.7,2,0.01,2,0.88,2,2.667,2,1.514,2,2137.7,2,2317.6,2
33RR20080204,       I06S,2,1,8,8,2,20080206,142,-33.2639,28.0498,820,229.5,12.0469,35.0697,3,35.0956,2,199.5,2,200,2,8.23,2,13.57,2,0.01,2,1,2,2.87,2,1.601,2,2142.5,2,2312.4,2
33RR20080204,       I06S,2,1,7,7,2,20080206,139,-33.2639,28.0498,820,282.9,10.9241,34.9245,3,34.953,2,206.8,2,207.7,2,8.42,2,15.08,2,0.01,2,1.09,2,2.958,2,1.621,2,-999,9,2306.2,2
33RR20080204,       I06S,2,1,6,6,2,20080206,135,-33.2639,28.0498,820,441.9,8.806,34.7445,3,34.7235,2,197.6,2,195,2,16.85,2,21.19,2,0.01,2,1.48,2,2.38,2,1.271,2,-999,9,2302.9,2
33RR20080204,       I06S,2,1,5,5,2,20080206,129,-33.2639,28.0498,820,490.6,8.3155,34.6772,2,34.6763,2,191.6,2,191.1,2,19.46,2,22.72,2,0.01,2,1.59,2,2.183,2,1.142,2,-999,9,2301.9,2
33RR20080204,       I06S,2,1,4,4,2,20080206,125,-33.2639,28.0498,820,558.9,7.6488,34.6395,2,34.6449,2,186,2,179,2,26.32,2,25.17,2,0.01,2,1.77,2,2.815,2,3.093,2,-999,9,2305.7,2
33RR20080204,       I06S,2,1,3,3,2,20080206,115,-33.2639,28.0498,820,681.8,6.983,34.6175,2,34.6135,2,167,3,170.7,2,32.8,2,27.38,2,0,2,1.91,2,1.488,2,0.77,2,-999,9,2309.6,2
33RR20080204,       I06S,2,1,2,2,2,20080206,110,-33.2639,28.0498,820,734.4,6.4715,34.5838,2,34.6013,3,163.1,3,161.9,2,39.1,2,29.12,2,0,2,2.05,2,1.189,2,0.626,2,-999,9,2314.7,2
33RR20080204,       I06S,2,1,1,1,2,20080206,107,-33.2639,28.0498,820,826.3,5.7559,34.5859,2,34.5842,2,162.4,3,157.5,2,46.43,2,30.82,2,0,2,2.18,2,0.967,2,0.506,2,2231.7,2,2319.1,2
33RR20080204,       I06S,2,3,12,12,2,20080206,1251,-33.2276,28.0722,388,7.9,27.3139,35.2585,2,35.2611,2,204,3,202.7,2,2.01,2,0.04,2,0,2,0.09,2,-999,9,-999,9,1985.7,6,2308.8,2
33RR20080204,       I06S,2,3,11,11,2,20080206,1248,-33.2276,28.0722,388,25.7,26.9975,35.2522,2,35.253,2,201.5,2,203.8,2,2.21,2,0.04,2,0,2,0.1,2,-999,9,-999,9,1987.7,2,2309.2,2
33RR20080204,       I06S,2,3,10,10,2,20080206,1245,-33.2276,28.0722,388,46.1,21.9601,35.2934,2,35.2932,2,187.3,2,189.3,2,4.2,2,2.44,2,0.21,2,0.33,2,-999,9,-999,9,2046.8,2,2313.7,2
33RR20080204,       I06S,2,3,9,9,2,20080206,1242,-33.2276,28.0722,388,78.7,17.4389,35.3405,2,35.337,2,157.1,2,151.8,2,9.6,2,10.9,2,0.02,2,0.81,2,-999,9,-999,9,2119.3,2,2319.7,2
33RR20080204,       I06S,2,3,8,8,2,20080206,1239,-33.2276,28.0722,388,102.2,15.612,35.3136,2,35.3133,2,150.4,3,155.8,2,10.8,2,12.42,2,0.01,2,0.92,2,-999,9,-999,9,2136.8,2,2321.5,2
33RR20080204,       I06S,2,3,7,7,2,20080206,1235,-33.2276,28.0722,388,153.2,12.9544,35.1467,2,35.1463,2,184.2,3,184.1,2,10.2,2,13.95,2,0.02,2,1.01,2,-999,9,-999,9,2143.7,2,2316.2,2
33RR20080204,       I06S,2,3,6,6,2,20080206,1231,-33.2276,28.0722,388,199.3,11.1767,34.988,2,34.9876,2,197.5,3,198.7,2,10.39,2,15.77,2,0.01,2,1.13,2,-999,9,-999,9,2147.4,2,2308.6,2
33RR20080204,       I06S,2,3,5,5,2,20080206,1227,-33.2276,28.0722,388,251.3,10.0487,34.8491,2,34.8487,2,200.6,3,203,2,11.2,2,17.76,2,0.01,2,1.26,2,-999,9,-999,9,2151.2,2,2304.2,2
33RR20080204,       I06S,2,3,4,4,2,20080206,1222,-33.2276,28.0722,388,305.7,9.1761,34.7594,2,34.7589,2,197.1,3,197,2,15.21,2,20.31,2,0.01,2,1.43,2,-999,9,-999,9,2162.3,2,2302.4,2
33RR20080204,       I06S,2,3,3,3,2,20080206,1217,-33.2276,28.0722,388,358.1,8.1195,34.6703,2,34.671,2,184.4,3,185.7,2,21.67,2,23.67,2,0.01,2,1.66,2,-999,9,-999,9,2180.1,2,2304.6,2
33RR20080204,       I06S,2,3,2,2,2,20080206,1215,-33.2276,28.0722,388,372.3,8.0868,34.6737,2,34.6745,2,183.5,3,184,2,22.88,2,23.93,2,0.01,2,1.67,2,-999,9,-999,9,-999,9,-999,9
33RR20080204,       I06S,2,3,1,1,2,20080206,1213,-33.2276,28.0722,388,373.3,8.0987,34.6674,2,34.6679,2,183.5,3,185.6,2,22.07,2,23.83,2,0.01,2,1.67,2,-999,9,-999,9,2181,6,2304.6,2
33RR20080204,       I06S,3,2,16,16,2,20080206,544,-33.2871,28.0617,960,28.6,26.2239,35.2189,3,35.2803,2,166.5,3,206.7,2,2.04,2,0.08,2,0,2,0.11,2,1.744,2,1.07,2,1986.6,2,2311,2
33RR20080204,       I06S,3,2,15,15,2,20080206,542,-33.2871,28.0617,960,49.8,21.9989,35.0633,3,35.2716,2,163.9,3,171.9,2,5.02,2,4.61,2,0.22,2,0.44,2,1.947,2,1.172,2,2046.3,2,2310.9,2
33RR20080204,       I06S,3,2,14,14,2,20080206,540,-33.2871,28.0617,960,86.5,18.0812,35.2958,3,35.3246,2,146.9,3,147.4,2,9.62,2,10.84,2,0.02,2,0.81,2,2.123,2,1.234,2,-999,9,2318.2,2
33RR20080204,       I06S,3,2,13,13,2,20080206,538,-33.2871,28.0617,960,111.1,16.5336,35.2324,3,35.4199,2,149.7,3,167.6,2,8.21,2,9.64,2,0.01,2,0.74,2,2.354,2,1.36,2,2112.1,2,2324.7,2
33RR20080204,       I06S,3,2,12,12,2,20080206,536,-33.2871,28.0617,960,173.7,13.8175,35.2371,3,35.2632,2,146,3,182.1,2,8.82,2,12.11,2,0.01,2,0.9,2,2.667,2,1.487,2,2127.3,2,2318.9,2
33RR20080204,       I06S,3,2,11,11,2,20080206,534,-33.2871,28.0617,960,224.5,12.794,35.1071,3,35.1958,2,164.5,3,199.3,2,7.42,2,12.15,2,0,2,0.9,2,2.904,2,1.602,2,2126.1,2,2315.5,2
33RR20080204,       I06S,3,2,10,10,2,20080206,531,-33.2871,28.0617,960,274.3,11.8959,35.0001,3,35.0759,2,181,3,199.2,2,8.42,2,13.87,2,0,2,1,2,2.907,2,1.573,2,-999,9,2311.8,2
33RR20080204,       I06S,3,2,9,9,2,20080206,529,-33.2871,28.0617,960,320.4,10.663,34.8953,3,34.91,2,179.7,3,219.6,2,7.62,2,15.39,2,0,2,1.1,2,3.058,2,1.625,2,2131.4,2,2303.7,2
33RR20080204,       I06S,3,2,8,8,2,20080206,526,-33.2871,28.0617,960,368.8,10.1471,34.8372,3,34.8542,2,185.3,3,218.1,2,10.23,2,17.21,2,0,2,1.22,2,2.863,2,1.502,2,-999,9,2303.3,2
33RR20080204,       I06S,3,2,7,7,2,20080206,524,-33.2871,28.0617,960,416.9,9.596,34.7877,3,34.793,2,185.4,3,206.8,2,12.63,2,18.94,2,0,2,1.34,2,2.716,2,1.395,2,2146.8,2,2302.2,2
33RR20080204,       I06S,3,2,6,6,2,20080206,521,-33.2871,28.0617,960,477.8,8.8198,34.7052,3,34.7109,2,183.1,3,198.1,2,15.44,2,20.97,2,0,2,1.46,2,2.476,2,1.264,2,-999,9,2300.9,2
33RR20080204,       I06S,3,2,5,5,2,20080206,517,-33.2871,28.0617,960,538,7.8969,34.7103,3,34.6492,2,183.5,3,185.8,2,22.28,2,24.03,2,0,2,1.68,2,1.986,2,1.021,2,2171.3,2,2303,2
33RR20080204,       I06S,3,2,4,4,2,20080206,512,-33.2871,28.0617,960,653.8,6.8476,34.5836,3,34.5979,2,171.3,3,173.8,2,32.6,2,27.61,2,0,2,1.93,2,1.423,2,0.734,2,2193.6,2,2308.8,2
33RR20080204,       I06S,3,2,3,3,2,20080206,508,-33.2871,28.0617,960,754.6,6.2116,34.6235,3,34.5977,2,165,3,164.1,2,41.14,2,29.77,2,0,2,2.1,2,1.116,2,0.599,2,2211.3,2,2316.2,2
33RR20080204,       I06S,3,2,2,2,2,20080206,502,-33.2871,28.0617,960,854.5,5.4202,34.6009,3,34.582,2,159.4,3,160.8,2,50.12,2,31.61,2,0,2,2.23,2,0.815,2,0.422,2,2225.8,2,2323.4,2
33RR20080204,       I06S,3,2,1,1,2,20080206,457,-33.2871,28.0617,960,950.4,4.6241,34.5337,3,34.5809,2,154.1,3,158.2,2,58.92,2,32.95,2,0,2,2.32,2,0.593,2,0.309,2,2235,2,2329.9,2
33RR20080204,       I06S,4,1,29,29,2,20080206,1641,-33.2868,28.1169,1741,9.5,27.2462,35.2987,2,35.2982,2,203,2,202.7,2,1.97,2,0.03,2,0,2,0.09,2,1.607,2,1.013,2,1979.2,6,2312.4,2
