BOTTLE,20191223JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20190725SIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEGC,PMOL/KG,,PMOL/KG,,FMOL/KG,
3.2502E+11, I06S,1,1,18,18,2,20190416,907,-68.342,31.5344,529,5.4,-1.8127,33.8982,2,33.9047,2,345.2,2,348.5,2,51.5,2,27.73,2,0.18,2,1.88,2,2184.8,6,2297.16,2,7.6447,2,25,6.133,2,3.254,2,4.0925,2
3.2502E+11, I06S,1,1,17,17,2,20190416,907,-68.342,31.5344,529,20.1,-1.8072,33.8988,2,33.902,2,345.2,2,348.6,2,51.3,2,27.71,2,0.18,2,1.89,2,2185.4,2,2296.44,2,7.6454,2,25,6.154,2,3.263,2,4.1825,2
3.2502E+11, I06S,1,1,16,16,2,20190416,907,-68.342,31.5344,529,40.1,-1.7431,33.9087,2,33.9199,2,343.8,2,345.5,2,51.7,2,27.79,2,0.18,2,1.9,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,15,15,2,20190416,907,-68.342,31.5344,529,64.9,-1.2507,34.0271,2,34.0363,2,336.6,2,335.7,2,54.3,2,28.57,2,0.15,2,1.96,2,2193.9,2,2305.27,2,7.6333,2,25,5.664,2,3.073,2,3.9477,2
3.2502E+11, I06S,1,1,14,14,2,20190416,907,-68.342,31.5344,529,90.5,-1.6428,34.076,2,34.0831,2,321.4,2,321.9,2,57.8,2,29.54,2,0.09,2,2.01,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,13,13,2,20190416,907,-68.342,31.5344,529,115.6,-1.6441,34.1361,2,34.1426,2,317.5,2,316.5,2,58.6,2,29.92,2,0.06,2,2.03,2,2208.4,2,2309.29,2,7.6126,2,25.03,5.087,2,2.755,2,3.2891,2
3.2502E+11, I06S,1,1,12,12,2,20190416,907,-68.342,31.5344,529,140.6,-1.6788,34.1742,2,34.1794,2,314.7,2,314.6,2,59.1,2,30.08,2,0.03,2,2.04,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,11,11,2,20190416,907,-68.342,31.5344,529,165.2,-1.6923,34.1956,2,34.2013,2,312.7,2,312.9,2,59.7,2,30.21,2,0.01,2,2.05,2,2214.6,2,2313.88,2,7.6082,2,25.01,4.997,2,2.705,2,3.3456,2
3.2502E+11, I06S,1,1,10,10,2,20190416,907,-68.342,31.5344,529,191.1,-1.6553,34.2131,2,34.2164,2,310.8,2,310.6,2,60.5,2,30.24,2,0.01,2,2.06,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,9,9,2,20190416,907,-68.342,31.5344,529,215.6,-1.5964,34.2394,2,34.2444,2,307,2,306.7,2,61.8,2,30.33,2,0.01,2,2.07,2,2218.9,2,2313.94,2,7.6062,2,25.01,4.768,2,2.586,2,3.1319,2
3.2502E+11, I06S,1,1,8,8,2,20190416,907,-68.342,31.5344,529,241.1,-1.5116,34.2774,2,34.2828,2,301.2,2,301,2,63.3,2,30.44,2,0,2,2.08,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,7,7,2,20190416,907,-68.342,31.5344,529,287.5,-1.2147,34.3557,2,34.3551,2,287.7,2,288.7,2,66.9,2,30.65,2,0,2,2.11,2,2226.6,2,2322.57,2,7.5996,2,24.99,4.169,2,2.272,2,2.6947,2
3.2502E+11, I06S,1,1,6,6,2,20190416,907,-68.342,31.5344,529,338.1,-0.4241,34.4681,2,34.4726,2,255.6,2,255.3,2,75.9,2,31.45,2,0,2,2.16,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,5,5,2,20190416,907,-68.342,31.5344,529,388.7,0.4785,34.579,2,34.5828,2,220.9,2,221.3,2,85,2,32.09,2,0,2,2.22,2,2250.4,2,2339.87,2,7.5826,2,25.01,2.022,2,1.222,2,-999,5
3.2502E+11, I06S,1,1,4,4,2,20190416,907,-68.342,31.5344,529,439.6,0.7217,34.6458,2,34.6491,2,211.6,2,211.2,2,94.7,2,32.01,2,0,2,2.21,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,3,3,2,20190416,907,-68.342,31.5344,529,490.6,0.7192,34.6494,2,34.6523,2,210.9,2,211,2,95.7,2,31.94,2,0,2,2.22,2,2250.7,2,2346.14,2,7.5831,2,25.01,1.159,2,0.641,2,0.663,2
3.2502E+11, I06S,1,1,2,2,2,20190416,907,-68.342,31.5344,529,505.2,0.7198,34.6499,2,34.6525,2,210.9,2,211,2,95.9,2,32.02,2,0,2,2.22,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,1,1,1,1,2,20190416,907,-68.342,31.5344,529,521.9,0.7212,34.6511,2,34.6535,2,210.7,2,210.9,2,96.2,2,32.03,2,0,2,2.23,2,2252.1,6,2348.73,2,7.5811,2,24.99,1.111,2,0.607,2,0.6395,2
3.2502E+11, I06S,2,1,21,21,2,20190416,1142,-68.354,31.3952,688,3.8,-1.7534,33.9114,2,33.916,2,352.9,2,349.4,2,53,2,27.86,2,0.17,2,1.94,2,2187.5,6,2296.23,2,7.6455,2,24.97,6.189,2,3.286,2,4.1287,2
3.2502E+11, I06S,2,1,20,20,2,20190416,1142,-68.354,31.3952,688,21.7,-1.7438,33.9144,2,33.9164,2,353.5,2,349.7,2,53.4,2,27.86,2,0.17,2,1.94,2,2183.2,2,2294.74,2,7.645,2,24.98,6.203,2,3.266,2,4.0076,2
3.2502E+11, I06S,2,1,19,19,2,20190416,1142,-68.354,31.3952,688,48.6,-1.5537,33.9469,2,33.9516,2,346.8,2,346.9,2,53,2,27.91,2,0.17,2,1.95,2,2188.4,2,2297.99,2,7.6435,2,25.02,6.072,2,3.236,2,4.0484,2
3.2502E+11, I06S,2,1,18,18,2,20190416,1142,-68.354,31.3952,688,72.8,-1.1803,34.0209,2,34.0301,2,341.4,2,343.2,2,53.4,2,28.07,2,0.17,2,1.96,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,17,17,2,20190416,1142,-68.354,31.3952,688,99.1,-1.0379,34.0482,2,34.0559,2,338,2,341.5,2,54,2,28.25,2,0.16,2,1.98,2,2194,2,2303.71,2,7.6403,2,25,5.792,2,3.073,2,3.5641,2
3.2502E+11, I06S,2,1,16,16,2,20190416,1142,-68.354,31.3952,688,123.7,-1.1621,34.0771,2,34.094,2,333.8,2,331.4,2,55.9,2,28.8,2,0.14,2,2.01,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,15,15,2,20190416,1142,-68.354,31.3952,688,153.1,-1.54,34.1916,2,34.2037,2,310.8,2,312.2,2,59.8,2,30.01,2,0.06,2,2.08,2,2213.2,2,2315.42,2,7.6093,2,24.96,4.965,2,2.677,2,3.1545,2
3.2502E+11, I06S,2,1,14,14,2,20190416,1142,-68.354,31.3952,688,173.7,-1.5471,34.2463,2,34.2508,2,306.5,2,304.4,2,62.5,2,30.25,2,0.01,2,2.1,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,13,13,2,20190416,1142,-68.354,31.3952,688,204.6,-1.469,34.2936,2,34.3,2,298.9,2,299.9,2,63.5,2,30.4,2,0,2,2.1,2,2218.7,2,2319.63,2,7.6032,2,24.95,4.56,2,2.472,2,2.9685,2
3.2502E+11, I06S,2,1,12,12,2,20190416,1142,-68.354,31.3952,688,225.1,-1.3786,34.3205,2,34.3247,2,295.1,2,295.4,2,65,2,30.52,2,0,2,2.1,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,11,11,2,20190416,1142,-68.354,31.3952,688,250.2,-1.2845,34.3482,2,34.3519,2,290,2,291.3,2,66.3,2,30.61,2,0,2,2.12,2,2227.8,2,2322.86,2,7.6002,2,24.98,4.277,2,2.296,2,2.7414,2
3.2502E+11, I06S,2,1,10,10,2,20190416,1142,-68.354,31.3952,688,301.5,-0.7797,34.4244,2,34.4315,2,272,2,269.6,2,72.4,2,31.12,2,0,2,2.15,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,9,9,2,20190416,1142,-68.354,31.3952,688,350.6,-0.194,34.503,2,34.5003,2,246.5,2,247.3,2,79.6,2,31.58,2,0,2,2.18,2,2239.2,2,2333.56,2,7.581,2,24.97,2.796,2,1.483,2,1.6649,2
3.2502E+11, I06S,2,1,8,8,2,20190416,1142,-68.354,31.3952,688,401.5,1.2209,34.671,2,34.6752,2,195.7,2,195.3,2,91.9,2,32.31,2,0,2,2.23,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,7,7,2,20190416,1142,-68.354,31.3952,688,452.3,0.9943,34.6691,2,34.679,2,201.9,2,203.7,2,93.1,2,31.96,2,0,2,2.2,2,2252,2,2345.76,2,7.5808,2,24.99,0.993,2,0.54,2,0.5339,2
3.2502E+11, I06S,2,1,6,6,2,20190416,1142,-68.354,31.3952,688,502,0.9163,34.6698,2,34.6748,2,208.4,2,206.5,2,94.5,2,31.82,2,0,2,2.2,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,5,5,2,20190416,1142,-68.354,31.3952,688,606.2,0.6312,34.6694,2,34.6727,2,211.2,2,211.5,2,103.3,2,31.97,2,0,2,2.22,2,2257.5,2,2350.83,2,7.5863,2,24.97,0.946,2,0.506,2,0.4892,2
3.2502E+11, I06S,2,1,4,4,2,20190416,1142,-68.354,31.3952,688,657.3,0.5303,34.6726,2,34.6758,2,211.8,2,212.5,2,108.3,2,32.1,2,0,2,2.22,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,2,1,3,3,2,20190416,1142,-68.354,31.3952,688,696.2,0.5352,34.6729,2,34.6768,2,211.9,2,211.6,2,108.2,2,32.15,2,0,2,2.22,2,2257.3,6,2350.22,2,7.5864,2,24.98,0.834,2,0.45,2,0.3969,2
3.2502E+11, I06S,3,1,22,22,2,20190416,1352,-68.3366,31.3218,1053,5.1,-1.6426,33.9315,2,33.9373,2,344.8,2,350,2,55.7,2,28.04,2,0.16,2,1.88,2,2186.7,6,2296.44,2,7.6449,2,24.99,6.207,2,3.236,2,3.9886,2
3.2502E+11, I06S,3,1,21,21,2,20190416,1352,-68.3366,31.3218,1053,34,-1.4973,33.9559,2,33.961,2,344.5,2,348,2,56.1,2,28.11,2,0.16,2,1.89,2,2188.6,2,2300.31,2,7.6416,2,25.02,6.134,2,3.229,2,4.0595,2
3.2502E+11, I06S,3,1,20,20,2,20190416,1352,-68.3366,31.3218,1053,60.5,-1.2289,34.0102,2,34.0168,2,341.1,2,344.2,2,57.6,2,28.36,2,0.16,2,1.92,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,19,19,2,20190416,1352,-68.3366,31.3218,1053,85.9,-1.218,34.0218,2,34.0269,2,340.1,2,344.9,2,57.8,2,28.35,2,0.16,2,1.92,2,2191,2,2303.11,2,7.645,2,25,5.984,2,3.17,2,3.9849,2
3.2502E+11, I06S,3,1,18,18,2,20190416,1352,-68.3366,31.3218,1053,110.9,-1.012,34.0492,2,34.0582,2,336.2,2,339.8,2,59.1,2,28.57,2,0.15,2,1.94,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,17,17,2,20190416,1352,-68.3366,31.3218,1053,135.8,-1.1919,34.0769,2,34.0874,2,335.1,2,330.8,2,59.1,2,29.04,2,0.13,2,1.98,2,2203,2,2305.41,2,7.6287,2,24.99,5.577,2,2.964,2,3.7399,2
3.2502E+11, I06S,3,1,16,16,2,20190416,1352,-68.3366,31.3218,1053,160.6,-1.6806,34.184,2,34.196,2,316,2,313.6,2,59.5,2,30.05,2,0.03,2,2.02,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,15,15,2,20190416,1352,-68.3366,31.3218,1053,184.9,-1.6254,34.2421,2,34.2377,2,305.6,2,308.5,2,61.2,2,30.26,2,0,2,2.04,2,2218.2,2,2314.1,2,7.6057,2,25.04,4.882,2,2.603,2,3.1071,2
3.2502E+11, I06S,3,1,14,14,2,20190416,1352,-68.3366,31.3218,1053,211.5,-1.3403,34.3112,2,34.3155,2,297.3,2,293.5,2,65.1,2,30.51,2,0.01,2,2.07,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,13,13,2,20190416,1352,-68.3366,31.3218,1053,235.6,-1.0909,34.3572,2,34.3611,2,281.7,2,283.4,2,67.7,2,30.79,2,0,2,2.08,2,2229.2,2,2322.18,2,7.5958,2,25.02,4.097,2,2.175,2,2.5289,2
3.2502E+11, I06S,3,1,12,12,2,20190416,1352,-68.3366,31.3218,1053,267.2,-0.6252,34.4344,2,34.4436,2,262.7,2,262.2,2,73.7,2,31.31,2,0,2,2.12,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,11,11,2,20190416,1352,-68.3366,31.3218,1053,317.4,-0.0078,34.5117,2,34.5142,2,239.4,2,241.1,2,79.4,2,31.66,2,0,2,2.16,2,2245.6,2,2332.86,2,7.5805,2,25.02,2.66,2,1.416,2,1.4808,2
3.2502E+11, I06S,3,1,10,10,2,20190416,1352,-68.3366,31.3218,1053,367.5,0.5589,34.5933,2,34.5962,2,219.4,2,219,2,85.8,2,32.1,2,0,2,2.19,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,9,9,2,20190416,1352,-68.3366,31.3218,1053,419.1,0.8762,34.6514,2,34.6542,2,210.3,2,207.9,2,90.7,2,31.97,2,0,2,2.19,2,2255,2,2344.64,2,7.5784,2,24.98,1.244,2,0.681,2,0.6161,2
3.2502E+11, I06S,3,1,8,8,2,20190416,1352,-68.3366,31.3218,1053,439.6,0.9021,34.6581,2,34.658,2,209.3,2,207.5,2,91.5,2,31.98,2,0,2,2.19,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,7,7,2,20190416,1352,-68.3366,31.3218,1053,540.7,0.8544,34.6702,2,34.6756,2,207.4,2,208.4,2,94.9,2,31.83,2,0,2,2.16,2,2255.1,2,2346.37,2,7.5845,2,25,1.064,2,0.576,2,0.4482,2
3.2502E+11, I06S,3,1,6,6,2,20190416,1352,-68.3366,31.3218,1053,641.5,0.7336,34.6783,2,34.6854,2,212.6,2,210,2,100.4,2,31.8,2,0,2,2.16,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,5,5,2,20190416,1352,-68.3366,31.3218,1053,743.3,0.5903,34.6755,2,34.6801,3,210,3,213.2,2,103.4,2,31.92,2,0,2,2.18,2,2258.5,2,2350.89,2,7.5895,2,24.97,0.95,2,0.512,2,0.2952,2
3.2502E+11, I06S,3,1,4,4,2,20190416,1352,-68.3366,31.3218,1053,844.7,0.4805,34.6702,2,34.6744,3,211.6,3,215,2,105.9,2,32.07,2,0,2,2.19,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,3,3,2,20190416,1352,-68.3366,31.3218,1053,945.3,0.4075,34.6731,2,34.6829,3,215.5,2,214.7,2,110.8,2,32.26,2,0,2,2.22,2,2256.4,2,2351.69,2,7.588,2,25,0.866,2,0.467,2,0.3674,2
3.2502E+11, I06S,3,1,2,2,2,20190416,1352,-68.3366,31.3218,1053,991.6,0.4109,34.6732,2,34.6766,3,215.5,2,214.8,2,110.7,2,32.23,2,0,2,2.22,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,3,1,1,1,2,20190416,1352,-68.3366,31.3218,1053,1040.5,0.4201,34.6733,2,34.6764,3,215.4,2,214.7,2,110.6,2,32.23,2,0,2,2.21,2,2257.8,6,2351.25,2,7.5877,2,24.99,0.85,2,0.475,2,0.4398,2
3.2502E+11, I06S,4,1,30,30,2,20190416,1719,-68.3074,31.2087,1811,5.3,-1.1999,34.0347,2,34.0398,2,338.7,2,345.1,2,57.6,2,28.22,2,0.16,2,1.86,2,2193.6,6,2303.03,2,7.6484,2,25.03,6.074,2,3.176,2,4.0193,2
3.2502E+11, I06S,4,1,29,29,2,20190416,1719,-68.3074,31.2087,1811,19.9,-1.189,34.0356,2,34.0395,2,338.7,2,345.1,2,57.2,2,28.22,2,0.16,2,1.86,2,2193.2,2,2304.1,2,7.6487,2,25.03,6.016,2,3.153,2,4.0934,2
3.2502E+11, I06S,4,1,28,28,2,20190416,1719,-68.3074,31.2087,1811,40.1,-1.1866,34.0361,2,34.0422,2,338.7,2,345.1,2,57.2,2,28.2,2,0.17,2,1.89,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,27,27,2,20190416,1719,-68.3074,31.2087,1811,65.5,-1.1956,34.0444,2,34.049,2,338.4,2,344.7,2,56.7,2,28.11,2,0.17,2,1.89,2,2192.2,2,2306.9,2,7.6492,2,25.04,6.006,2,3.154,2,4.1314,2
3.2502E+11, I06S,4,1,26,26,2,20190416,1719,-68.3074,31.2087,1811,90.5,-1.1691,34.054,2,34.0672,2,337.7,2,342.6,2,57,2,28.25,2,0.16,2,1.9,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9
3.2502E+11, I06S,4,1,25,25,2,20190416,1719,-68.3074,31.2087,1811,115.8,-1.2379,34.1566,2,34.1811,2,320.3,3,315.1,2,61.6,2,29.65,2,0.12,2,2.01,2,2210.2,2,2312.39,2,7.6173,2,25.02,5.107,2,2.709,2,3.4213,2
