BOTTLE,20191224JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140514CCHSIOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
  316N145_9,       I07C,680,1,36,36,2,19950704,1729,-29.494,54.4975,4872,3.4,20.3882,35.668,2,35.6681,2,211.1,4,223.9,2,2.7,2,0.14,2,0,2,0.09,2,2.153,2,1.191,2,2012.9,6,2337.5,2
  316N145_9,       I07C,680,1,35,35,2,19950704,1729,-29.494,54.4975,4872,27.3,20.3411,35.6693,2,35.6665,2,214.3,4,224.5,2,2.67,2,0.09,2,0,2,0.08,2,-999,9,-999,9,2013.2,2,2331.5,2
  316N145_9,       I07C,680,1,34,34,2,19950704,1729,-29.494,54.4975,4872,47.4,19.7563,35.6513,2,35.6494,2,215.9,4,226.3,2,2.64,2,0.09,2,0,2,0.09,2,-999,9,-999,9,2018.1,2,-999,5
  316N145_9,       I07C,680,1,33,33,2,19950704,1729,-29.494,54.4975,4872,67.6,19.5,35.6485,2,35.6452,2,215.2,4,230.3,2,2.6,2,0.09,2,0,2,0.1,2,2.301,2,1.296,2,2024.4,2,2332.1,2
  316N145_9,       I07C,680,1,32,32,2,19950704,1729,-29.494,54.4975,4872,86.9,18.5429,35.6489,2,35.6458,2,219.3,4,231.6,2,2.38,2,0.09,2,0,2,0.12,2,-999,9,-999,9,2035.8,2,-999,5
  316N145_9,       I07C,680,1,31,31,2,19950704,1729,-29.494,54.4975,4872,107.3,18.0819,35.6227,2,35.6117,2,219.8,3,226.7,2,2.54,2,0.71,2,0.12,2,0.19,2,2.458,2,1.328,2,2046.6,2,2339.2,2
  316N145_9,       I07C,680,1,30,30,2,19950704,1729,-29.494,54.4975,4872,132.8,16.6347,35.5726,2,35.5664,2,216.7,3,218.7,2,3.43,2,2.81,2,0.02,2,0.34,2,-999,9,-999,9,2068.6,2,-999,5
  316N145_9,       I07C,680,1,29,29,2,19950704,1729,-29.494,54.4975,4872,158.1,15.9273,35.5337,2,35.5278,2,221.1,3,222.2,2,3.58,2,3.88,2,0.01,2,0.39,2,-999,9,-999,9,2072.4,2,2329.2,2
  316N145_9,       I07C,680,1,28,28,2,19950704,1729,-29.494,54.4975,4872,207.7,15.2721,35.5068,2,35.5006,2,224.1,2,223.4,2,4.11,2,5.05,2,0.01,2,0.46,2,2.716,2,1.424,2,2077,2,-999,5
  316N145_9,       I07C,680,1,27,27,2,19950704,1729,-29.494,54.4975,4872,257.5,14.7038,35.4591,2,35.4553,2,227.4,2,225.2,2,4.26,2,5.79,2,0.01,2,0.5,2,-999,9,-999,9,2081.6,2,2326.9,2
  316N145_9,       I07C,680,1,26,26,2,19950704,1729,-29.494,54.4975,4872,307.2,14.3114,35.4229,2,35.4228,2,228,2,228,2,4.41,2,6.26,2,0.01,2,0.53,2,-999,9,-999,9,2082.7,2,-999,5
