BOTTLE,20191224JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20080821WHPSIOSCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,
    316N145_10,  I07N,709,1,36,36,2,19950716,45,-18.5032,54.9898,4432,12.5,24.3147,35.0601,2,35.0609,2,201.8,2,210.6,2,3.24,2,0.01,2,0,2,0.13,2,1.857,2,1.057,2,-999,9,1952.7,2,2295.6,2
    316N145_10,  I07N,709,1,35,35,2,19950716,45,-18.5032,54.9898,4432,62.8,24.3098,35.1895,2,35.194,2,208.2,2,210.5,2,3.05,2,0.01,2,0,2,0.12,2,1.874,2,1.076,2,-999,9,1961.5,2,2303.5,2
    316N145_10,  I07N,709,1,34,34,2,19950716,45,-18.5032,54.9898,4432,92.6,24.1638,35.2451,2,35.2447,2,207.7,2,210.7,2,3.04,2,0.01,2,0,2,0.11,2,1.87,2,1.057,2,-999,9,1962.7,2,2306.4,2
    316N145_10,  I07N,709,1,33,33,2,19950716,45,-18.5032,54.9898,4432,123.4,23.4385,35.2396,2,35.2401,2,205.8,2,205.7,2,3.38,2,0.31,2,0.07,2,0.17,2,-999,9,-999,9,-999,9,1978.1,2,2303.1,2
    316N145_10,  I07N,709,1,32,32,2,19950716,45,-18.5032,54.9898,4432,151.7,21.6008,35.4331,2,35.4485,2,202.2,2,196.4,2,3.71,2,1.35,2,0.03,2,0.25,2,2.07,2,1.166,2,-999,9,2010.6,2,2320.3,2
    316N145_10,  I07N,709,1,31,31,2,19950716,45,-18.5032,54.9898,4432,202.5,20.2801,35.6269,2,35.6242,2,199.6,2,195.4,2,3.87,2,2.09,2,0.01,2,0.28,2,2.139,2,1.17,2,-999,9,2033.4,2,2330.9,2
    316N145_10,  I07N,709,1,30,30,2,19950716,45,-18.5032,54.9898,4432,251.5,19.3946,35.6672,2,35.649,2,196.3,2,192.1,2,4.39,2,3.1,2,0.01,2,0.34,2,2.138,2,1.162,2,-999,9,2051.2,2,2334.2,2
    316N145_10,  I07N,709,1,29,29,2,19950716,45,-18.5032,54.9898,4432,290.6,16.725,35.5114,2,35.5063,2,180.8,2,178.6,2,7.9,2,7.39,2,0.01,2,0.62,2,2.092,2,1.116,2,-999,9,2089.2,2,2327.9,2
    316N145_10,  I07N,709,1,28,28,2,19950716,45,-18.5032,54.9898,4432,402.6,12.8814,35.175,2,35.1762,2,198.3,2,199,2,8.59,2,11.22,2,0,2,0.86,2,2.239,2,1.129,2,-999,9,2108.4,2,2336.2,3
    316N145_10,  I07N,709,1,27,27,2,19950716,45,-18.5032,54.9898,4432,471.1,11.3686,34.9824,2,34.9867,2,209.7,2,210.1,2,8.4,2,13.42,2,0,2,0.99,2,2.228,2,1.119,2,-999,9,2112.5,2,2314.6,2
    316N145_10,  I07N,709,1,26,26,2,19950716,45,-18.5032,54.9898,4432,583,9.5755,34.7612,2,34.7548,2,199,2,201.2,2,13.32,2,18.62,2,0,2,1.31,2,1.611,2,0.799,2,-999,9,2132.3,2,2300.4,2
    316N145_10,  I07N,709,1,25,25,2,19950716,45,-18.5032,54.9898,4432,700.2,8.031,34.6458,2,34.6454,2,176.4,2,177,2,25.48,2,24.15,2,0,2,1.69,2,0.839,2,0.422,2,-999,9,2164.5,2,2309.5,2
    316N145_10,  I07N,709,1,24,24,2,19950716,45,-18.5032,54.9898,4432,831.7,6.2388,34.572,2,34.5699,2,150.7,2,155.5,2,44.88,2,29.52,2,0,2,2.09,2,0.294,2,0.145,2,-999,9,2205.2,2,2320.6,2
    316N145_10,  I07N,709,1,23,23,2,19950716,45,-18.5032,54.9898,4432,898.8,5.5809,34.5975,2,34.5967,2,138,2,136.8,2,60.43,2,32.11,2,0,2,2.29,2,0.128,2,0.067,2,-999,9,2233.4,2,2338.8,2
    316N145_10,  I07N,709,1,22,22,2,19950716,45,-18.5032,54.9898,4432,991.5,4.9642,34.6079,2,34.6096,2,125.7,2,130.5,2,70.88,2,33.45,2,0,2,2.39,2,0.046,2,0.023,2,-999,9,2249,2,2341.6,2
