BOTTLE,20191224JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20190909CCHSIOCBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,
33RO20180423,        I7N,1,1,24,11122,2,20180428,220,-30.0002,54.4595,4283,3.3,22.9597,35.6185,2,35.624,2,204.5,2,215.165,2,1.5,2,0,2,0,2,0.053,2,1.762,6,1.1048,6,1.5847,6,2034.1,6,2331.8,2
33RO20180423,        I7N,1,1,23,11121,2,20180428,220,-30.0002,54.4595,4283,39,22.9701,35.6184,2,35.6216,2,204.3,2,215.147,2,1.5,2,0,2,0,2,0.061,2,1.7634,2,1.1038,2,1.5916,2,2034.1,2,2333.8,6
33RO20180423,        I7N,1,1,22,11120,2,20180428,220,-30.0002,54.4595,4283,87.6,18.7679,35.681,2,35.681,2,223.6,2,235.464,2,1.6,2,0,2,0,2,0.138,2,2.2495,2,1.3766,2,1.7754,2,2066.6,2,2346.2,2
33RO20180423,        I7N,1,1,21,11119,2,20180428,220,-30.0002,54.4595,4283,111.6,17.4672,35.6223,2,35.6293,2,216,2,228.338,2,1.7,2,0,2,0.1,2,0.215,2,2.3385,2,1.4279,2,1.8027,2,2081,2,2343.2,2
33RO20180423,        I7N,1,1,20,11118,2,20180428,220,-30.0002,54.4595,4283,188.1,15.0634,35.4522,2,35.4573,2,208.9,2,220.929,2,2.4,2,2.9,2,0.01,2,0.465,2,2.6272,2,1.5689,2,1.8171,2,2107.2,2,2330.6,2
33RO20180423,        I7N,1,1,19,11083,2,20180428,220,-30.0002,54.4595,4283,275.9,13.6939,35.3177,2,35.3187,2,213.2,2,226.614,2,3.5,2,5.9,2,0,2,0.641,2,2.7706,2,1.6531,2,1.8449,2,2112,2,2323.1,2
33RO20180423,        I7N,1,1,18,11117,2,20180428,220,-30.0002,54.4595,4283,413.5,12.625,35.1689,2,35.1717,2,215,2,228.841,2,3.7,2,8,2,0,2,0.77,2,2.9532,2,1.7504,2,1.7926,2,2117.2,2,2313.5,2
33RO20180423,        I7N,1,1,17,11116,2,20180428,220,-30.0002,54.4595,4283,562.1,11.3736,34.9783,2,34.9827,2,215.6,2,230.506,2,4.3,2,10.8,2,0,2,0.942,2,3.1844,2,1.8352,2,1.6601,2,2126,2,2304.8,2
33RO20180423,        I7N,1,1,16,11115,2,20180428,220,-30.0002,54.4595,4283,713.8,9.9225,34.7767,2,34.7861,2,205.1,2,220.347,2,7,2,15.4,2,0,2,1.224,2,3.2896,2,1.8067,2,1.308,2,2135.9,2,2297.7,2
