BOTTLE,20201201SIOJHS
#This file has the -999.9 incorrect missing values replaced with -999
#BOTTLE,20143704JOAExport
# Exported from JOA (5.2.1 December 4, 2013) on 2014/11/04 11:36:52
#BOTTLE,20141417JOAExport
# Exported from JOA (5.2.1 December 4, 2013) on 2014/08/17 15:13:44
#BOTTLE,20140817CCHSIOMH
#BOTTLE,20090521WHPSIOdm
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,NA,,UMOL/KG,,UMOL/KG,
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,5.3,0.62,33.587,2,33.589,2,318.5,2,341.6,2,43.95,2,26.06,2,0.33,2,1.67,2,6.467,2,3.071,2,-999,9,2140.6,2,2276.1,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,25.6,-0.406,33.836,2,33.825,2,333.1,2,341.4,2,46.59,2,26.81,2,0.22,2,1.73,2,5.847,2,2.795,2,-999,9,2156.6,2,2293.8,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,49.4,-1.317,34.078,2,34.09,2,325.8,2,316,2,48.74,2,28.52,2,0.17,2,1.92,2,4.974,2,2.359,2,-999,9,2172.6,2,2313.9,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,76.3,-0.587,34.267,2,34.27,2,270.9,2,262,2,63.96,2,31.29,2,0.15,2,2.16,2,3.679,2,1.745,2,-999,9,2221.4,2,-999,9
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,101.2,0.322,34.407,2,34.418,2,225.4,2,223.1,2,72.56,2,32.87,2,0.12,2,2.24,2,2.629,2,1.214,2,-999,9,2234.9,2,2321.4,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,151.6,1.108,34.544,2,34.55,2,197.8,2,197.9,2,79.66,2,33.18,2,0.01,2,2.25,2,1.477,6,0.686,6,-999,9,2243.3,2,2344.4,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,196.3,1.481,34.604,2,34.608,2,182.9,2,187.5,2,82.8,2,32.96,2,0.01,2,2.24,2,0.942,2,0.447,2,-999,9,2251.1,2,2337.4,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,251.8,1.704,34.648,2,34.656,2,182.1,2,181.9,2,84.94,2,32.7,2,0.01,2,2.22,2,0.577,2,0.269,2,-999,9,2254.4,2,-999,9
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,303.7,1.867,34.688,2,34.692,2,177.7,2,181.6,2,86.09,2,32.04,2,0,2,2.19,2,0.338,2,0.175,2,-999,9,2252.1,2,2339.6,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,353.8,1.797,34.694,2,34.698,2,182.2,2,184.4,2,86.08,2,31.73,2,0,2,2.17,2,0.358,2,0.172,2,-999,9,2251.9,2,2346.7,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,404.1,1.781,34.707,2,34.712,2,182.6,2,186.4,2,86.91,2,31.41,2,0,2,2.14,2,0.289,2,0.14,2,-999,9,2250.5,2,2347.1,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,454.6,1.744,34.711,2,34.714,2,183.6,2,188.9,2,87.57,2,31.3,2,0,2,2.13,2,0.328,2,0.175,2,-999,9,2248.3,2,2340.7,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,504.5,1.735,34.722,2,34.725,2,184.5,2,190,2,88.05,2,30.93,2,0,2,2.11,2,0.234,2,0.114,2,-999,9,2248.8,2,-999,9
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,607.1,1.627,34.726,2,34.731,2,187.2,2,194.4,2,89.86,2,30.62,2,0,2,2.1,2,0.244,2,0.123,2,-999,9,2247.5,2,2344.1,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,708.6,1.545,34.733,2,34.737,2,194,2,197.6,2,92.01,2,30.42,2,0,2,2.08,2,0.198,2,0.101,2,-999,9,2246.6,2,2364.2,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,809.6,1.464,34.736,2,34.741,2,194.4,2,199,2,94.64,2,30.35,2,0,2,2.07,2,-999,9,-999,9,-999,9,2246.6,2,-999,9
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,911.6,1.341,34.732,2,34.734,2,194.6,2,201.5,2,96.79,2,30.39,2,0,2,2.09,2,0.208,2,0.102,2,-999,9,2247.5,2,2354.5,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,1013.2,1.239,34.729,2,34.731,2,198,2,202.8,2,99.92,2,30.58,2,0,2,2.09,2,0.172,2,0.084,2,-999,9,2248.6,2,2355.3,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,1113.7,1.154,34.725,2,34.73,2,198.6,2,203.7,2,102.72,2,30.67,2,0,2,2.1,2,0.155,2,0.071,2,-999,9,2250.2,6,2358.6,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,1214.9,1.073,34.722,2,34.725,2,199.9,2,204.4,2,105.03,2,30.81,2,0,2,2.11,2,0.126,2,0.071,2,-999,9,2247.5,2,2358.3,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,1315.7,0.988,34.718,2,34.723,2,200.4,2,205.5,2,107.83,2,30.95,2,0,2,2.13,2,0.11,2,0.06,2,-999,9,2250.6,2,2356.2,2
           NA,    I08S,82,1,-999,-99,2,19941227,2324,-64.1472,81.8917,3689,1418.6,0.897,34.714,2,34.718,2,201.8,2,206.3,2,110.13,2,31.14,2,0,2,2.14,2,0.115,2,0.059,2,-999,9,2252.1,2,-999,9
