BOTTLE,20211520JOAExport
# Exported from JOA (5.5.0 Final September 29th, 2020) on 2021/02/19 17:14:55
#BOTTLE,20170809JHS
#BOTTLE,20170704CCHSIORJL

#BOTTLE,20170809JHS
#BOTTLE,20160427SIO


EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,    I08S,      1,   1,-999.0,      20,  2,20160219,0557, -66.6027,   78.3815,   467,    5.500,   -1.526,   33.028,2,   33.030,2,  349.600,2,  348.700,2,   45.400,2,   24.070,2,    0.150,2,    1.660,2,    5.320,2,    2.938,2,    3.221,2, 2111.200,2, 2237.630,2
           NA,    I08S,      1,   1,-999.0,      19,  2,20160219,0557, -66.6027,   78.3815,   467,   10.900,   -1.522,   33.028,2,   33.031,2,  349.900,2,  348.200,2,   45.200,2,   23.970,2,    0.150,2,    1.660,2,    5.380,2,    2.951,2,    3.419,2, 2110.200,2, 2238.300,2
           NA,    I08S,      1,   1,-999.0,      18,  2,20160219,0557, -66.6027,   78.3815,   467,   19.800,   -1.545,   33.038,2,   33.046,2,  348.800,2,  349.000,2,   45.400,2,   24.010,2,    0.150,2,    1.680,2,    5.351,2,    2.895,2,    3.143,2, 2111.900,2, 2239.010,2
           NA,    I08S,      1,   1,-999.0,      17,  2,20160219,0557, -66.6027,   78.3815,   467,   40.300,   -1.688,   34.081,2,   34.083,2,  314.000,2,  313.700,2,   53.700,2,   28.410,2,    0.080,2,    2.030,2,    4.525,2,    2.447,2,    2.600,2, 2195.900,2, 2306.710,2
           NA,    I08S,      1,   1,-999.0,      16,  2,20160219,0557, -66.6027,   78.3815,   467,   65.800,   -1.741,   34.272,2,   34.273,2,  304.900,2,  303.900,2,   57.500,2,   29.980,2,    0.130,2,    2.090,2,    4.494,2,    2.500,2,    2.765,2, -999.000,9, -999.000,9
           NA,    I08S,      1,   1,-999.0,      15,  2,20160219,0557, -66.6027,   78.3815,   467,   89.900,   -1.768,   34.316,2,   34.319,2,  305.200,2,  305.800,2,   57.900,2,   30.200,2,    0.100,2,    2.100,2,    4.568,2,    2.536,2,    2.844,2, -999.000,9, -999.000,9
           NA,    I08S,      1,   1,-999.0,      14,  2,20160219,0557, -66.6027,   78.3815,   467,  114.800,   -1.668,   34.345,2,   34.347,2,  302.900,2,  302.000,2,   59.000,2,   30.310,2,    0.040,2,    2.100,2,    4.479,2,    2.489,2,    2.758,2, 2218.100,2, 2320.140,2
           NA,    I08S,      1,   1,-999.0,      13,  2,20160219,0557, -66.6027,   78.3815,   467,  140.200,   -1.556,   34.364,2,   34.368,2,  302.300,2,  300.300,2,   60.200,2,   30.360,2,    0.030,2,    2.110,2,    4.505,2,    2.491,2,    2.594,2, -999.000,9, -999.000,9
           NA,    I08S,      1,   1,-999.0,      12,  2,20160219,0557, -66.6027,   78.3815,   467,  166.600,   -1.375,   34.397,2,   34.399,2,  295.400,2,  296.400,2,   62.700,2,   30.510,2,    0.000,2,    2.110,2,    4.366,2,    2.454,2,    2.600,2, 2225.600,2, 2323.430,2
           NA,    I08S,      1,   1,-999.0,      11,  2,20160219,0557, -66.6027,   78.3815,   467,  190.500,   -1.527,   34.403,2,   34.406,2,  303.100,2,  302.800,2,   62.500,2,   30.320,2,    0.000,2,    2.110,2,    4.527,2,    2.569,2,    2.770,2, -999.000,9, -999.000,9
           NA,    I08S,      1,   1,-999.0,      10,  2,20160219,0557, -66.6027,   78.3815,   467,  214.700,   -1.457,   34.419,2,   34.421,2,  300.100,2,  300.900,2,   63.700,2,   30.460,2,    0.000,2,    2.110,2,    4.477,2,    2.539,2,    2.758,2, 2227.700,2, 2325.640,2
           NA,    I08S,      1,   1,-999.0,       9,  2,20160219,0557, -66.6027,   78.3815,   467,  240.100,   -1.557,   34.420,2,   34.421,2,  304.900,2,  304.900,2,   63.400,2,   30.370,2,    0.000,2,    2.100,2,    4.623,2,    2.628,2,    2.721,2, 2226.500,2, 2325.720,2
           NA,    I08S,      1,   1,-999.0,       8,  2,20160219,0557, -66.6027,   78.3815,   467,  264.600,   -1.539,   34.426,2,   34.428,2,  302.100,2,  304.000,2,   63.900,2,   30.460,2,    0.000,2,    2.110,2,    4.735,6,    2.682,6,    2.685,6, -999.000,9, -999.000,9
           NA,    I08S,      1,   1,-999.0,       7,  2,20160219,0557, -66.6027,   78.3815,   467,  289.500,   -1.516,   34.436,2,   34.439,2,  302.800,2,  302.700,2,   65.000,2,   30.390,2,    0.000,2,    2.120,2,    4.615,2,    2.610,2,    2.654,2, 2227.500,2, 2325.380,2
           NA,    I08S,      1,   1,-999.0,       6,  2,20160219,0557, -66.6027,   78.3815,   467,  315.500,   -1.323,   34.458,2,   34.462,2,  296.200,2,  294.400,2,   67.600,2,   30.600,2,    0.000,2,    2.120,2,    4.353,2,    2.436,2,    2.458,2, -999.000,9, -999.000,9
           NA,    I08S,      1,   1,-999.0,       5,  2,20160219,0557, -66.6027,   78.3815,   467,  340.600,   -1.246,   34.470,2,   34.471,2,  291.200,2,  293.000,2,   69.100,2,   30.670,2,    0.000,2,    2.130,2,    4.148,2,    2.350,2,    2.249,2, 2232.500,2, 2329.130,2
           NA,    I08S,      1,   1,-999.0,       4,  2,20160219,0557, -66.6027,   78.3815,   467,  365.500,   -1.070,   34.490,2,   34.493,2,  286.600,2,  284.200,2,   71.700,2,   30.830,2,    0.000,2,    2.140,2,    4.255,2,    2.157,2,    1.738,2, -999.000,9, -999.000,9
           NA,    I08S,      1,   1,-999.0,       3,  2,20160219,0557, -66.6027,   78.3815,   467,  390.200,   -0.682,   34.522,2,   34.523,2,  270.800,2,  270.400,2,   74.500,2,   31.050,2,    0.000,2,    2.140,2, -999.000,5, -999.000,5, -999.000,5, 2235.600,2, 2334.110,6
           NA,    I08S,      1,   1,-999.0,       2,  2,20160219,0557, -66.6027,   78.3815,   467,  454.400,   -0.518,   34.550,2,   34.551,2,  262.300,2,  262.900,2,   79.000,2,   31.160,2,    0.000,2,    2.160,2,    3.212,2,    1.706,2,    1.492,2, 2239.500,6, 2339.010,2
           NA,    I08S,      2,   3,-999.0,      22,  2,20160219,0939, -66.4997,   78.2986,   952,    5.400,   -1.392,   33.064,2,   33.064,2,  349.600,2,  350.400,2,   45.600,2,   24.080,2,    0.150,2,    1.620,2,    5.730,6,    3.068,6,    3.103,6, 2115.400,6, 2239.870,2
           NA,    I08S,      2,   3,-999.0,      21,  2,20160219,0939, -66.4997,   78.2986,   952,   13.700,   -1.406,   33.091,2,   33.126,2,  349.900,2,  347.100,2,   46.000,2,   24.360,2,    0.140,2,    1.650,2,    5.660,2,    2.862,2,    3.173,2, 2120.500,2, 2245.820,2
