BOTTLE,20144704JOAExport,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.2.1 December 4, 2013) on 2014/11/04 12:46:50,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDTMP_FLAG_W,SALNITY,SALNITY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,C,,PSS,,UM/KG,,UM/KG,,UM/KG,,UM/KG,
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,0,-1.28,0,33.665,0,348.855,9,32.909,9,23.612,9,1.634,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,10,-1.348,0,33.736,0,349.622,9,36.531,9,24.525,9,1.767,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,20,-1.375,0,33.799,0,349.074,9,41.724,9,24.789,9,1.8,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,30,-1.475,0,33.924,0,342.413,9,44.765,9,25.713,9,1.881,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,50,-1.649,0,34.106,0,326.575,9,50.025,9,27.923,9,1.977,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,75,-1.599,0,34.247,0,311.532,9,56.053,9,29.252,9,2.083,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,100,-1.385,0,34.325,0,293.683,9,59.912,9,29.96,9,2.108,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,125,-1.199,0,34.378,0,282.664,9,64.181,9,30.173,9,2.175,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,150,-0.821,0,34.413,0,270.771,9,66.289,9,30.423,9,2.19,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,200,-0.504,0,34.461,0,262.829,9,70.725,9,30.695,9,2.144,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,250,-0.24,0,34.49,0,261.548,9,68.761,9,30.883,9,2.119,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,300,0.054,0,34.531,0,253.27,9,72.859,9,30.949,9,2.123,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,400,0.33,0,34.581,0,243.93,9,74.319,9,30.773,9,2.096,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,500,0.161,0,34.609,0,250.901,9,74.235,9,30.985,9,2.11,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,600,1.06,0,34.694,0,208.94,9,88.858,9,31.109,9,2.148,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,700,1.127,0,34.706,0,207.122,9,94.741,9,31.074,9,2.151,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,800,1.061,0,34.706,0,205.779,9,96.524,9,31.334,9,2.162,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,900,0.862,0,34.702,0,213.85,9,102.232,9,31.11,9,2.215,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,1000,0.804,0,34.7,0,211.864,9,104.406,9,31.272,9,2.213,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,1100,0.662,0,34.691,0,214.727,9,107.657,9,31.283,9,2.226,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,1200,0.644,0,34.701,0,214.564,9,109.909,9,31.556,9,2.243,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,1300,0.575,0,34.696,0,215.576,9,107.865,9,31.426,9,2.246,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,1400,0.531,0,34.698,0,217.622,9,112.549,9,31.652,9,2.254,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,1500,0.389,0,34.692,0,215.209,9,111.958,9,31.698,9,2.233,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,1750,0.255,0,34.68,0,218.703,9,116.707,9,31.987,9,2.264,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,2000,0.164,0,34.678,0,224.29,9,117.576,9,32.044,9,2.272,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,2500,-0.062,0,34.676,0,231.044,9,117.728,9,31.986,9,2.254,9
           NA,I8 WOA05 LINE,24,1,-999,-999,-99,-2079,,-65.5,83.5,2705,3000,-0.171,0,34.676,0,235.17,9,116.869,9,31.618,9,2.263,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,0,-1.078,0,33.7,0,349.47,9,32.777,9,23.876,9,1.652,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,10,-1.17,0,33.757,0,349.636,9,37.479,9,24.958,9,1.769,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,20,-1.203,0,33.817,0,348.332,9,41.183,9,25.363,9,1.808,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,30,-1.304,0,33.917,0,342.952,9,43.501,9,26.059,9,1.866,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,50,-1.542,0,34.076,0,327.727,9,48.892,9,27.926,9,1.975,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,75,-1.482,0,34.226,0,306.918,9,55.796,9,29.421,9,2.101,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,100,-1.073,0,34.327,0,281.217,9,60.771,9,30.438,9,2.148,9
           NA,I8 WOA05 LINE,25,1,-999,-999,-99,-2079,,-64.5,83.5,3519,125,-0.618,0,34.413,0,261.808,9,66.739,9,30.921,9,2.229,9
