BOTTLE,20205729JOAExport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Exported from JOA (5.4.0 Beta 1.0 October 2nd, 2017) on 2020/10/29 11:57:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20090521WHPSIOdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Merged 2 decimal place DELC13 received from Dana Gerlach, WHOI, Apr 1,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Changed HELIUM units from UMOL/KG to NMOL/KG.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: 20090520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: i08shy.txt   Mon May 18 13:04:07 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: i08ssu.txt   Thu May 14 09:17:45 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20080321WHPSIOdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#code : jjward hyd_to_exchange.pl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original files copied from HTML directory: 20080321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original HYD file: i08shy.txt   Fri Mar 21 08:37:40 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#original SUM file: i08ssu.txt   Wed Jun 16 11:13:01 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DB,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,
           NA,    I09S,86,1,36,-99,2,19950102,403,-64.8583,110.8138,2655,9.6,-0.8024,33.5755,2,33.5829,2,345.5,2,342.5,2,64.25,2,26.66,2,0.22,2,1.9,2,-999,9,-999,9,-999,9,2148.4,6,-999,3
           NA,    I09S,86,1,35,-99,2,19950102,403,-64.8583,110.8138,2655,29.2,-1.5772,33.9861,2,33.9929,2,345.9,2,333.3,2,65.65,2,27.11,2,0.13,2,1.92,2,-999,9,-999,9,-999,9,2175.1,2,2298.6,2
           NA,    I09S,86,1,34,-99,2,19950102,403,-64.8583,110.8138,2655,55.3,-1.7662,34.2282,2,34.2368,2,326.1,2,313.8,2,67.36,2,28.27,2,0.1,2,1.99,2,-999,9,-999,9,-999,9,2197.5,2,2308.6,2
           NA,    I09S,86,1,33,-99,2,19950102,403,-64.8583,110.8138,2655,80,-1.7707,34.3312,2,34.3378,2,316.1,2,303.4,2,69.07,2,29.23,2,0.13,2,2.05,2,-999,9,-999,9,-999,9,2209.4,2,2323.1,2
           NA,    I09S,86,1,32,-99,2,19950102,403,-64.8583,110.8138,2655,105,-1.8223,34.366,2,34.3753,2,330.7,2,315.2,2,67.66,2,29.58,2,0.03,2,2.07,2,-999,9,-999,9,-999,9,2208.3,2,2315.7,2
           NA,    I09S,86,1,31,-99,2,19950102,403,-64.8583,110.8138,2655,155.7,-1.5184,34.4273,2,34.4359,2,315.1,2,301,2,71.27,2,29.86,2,0.01,2,2.1,2,-999,9,-999,9,-999,9,2216.2,2,-999,9
           NA,    I09S,86,1,30,-99,2,19950102,403,-64.8583,110.8138,2655,206.6,-0.0248,34.5746,2,34.5773,2,248.6,2,242.7,2,83.78,2,30.58,2,0.01,2,2.16,2,-999,9,-999,9,-999,9,2236.3,2,2341.1,2
           NA,    I09S,86,1,29,-99,2,19950102,403,-64.8583,110.8138,2655,256,0.6514,34.6577,2,34.6635,2,222.1,2,216.5,2,92.07,2,30.85,2,0,2,2.17,2,-999,9,-999,9,-999,9,2244.3,2,2343.7,2
           NA,    I09S,86,1,28,-99,2,19950102,403,-64.8583,110.8138,2655,306.3,0.7745,34.6778,2,34.6826,2,216.2,2,-999,4,95.68,2,30.84,2,0,2,2.17,2,-999,9,-999,9,-999,9,2248,2,2347.4,2
           NA,    I09S,86,1,27,-99,2,19950102,403,-64.8583,110.8138,2655,356.4,0.7892,34.6876,2,34.6908,2,215.1,2,211,2,98.35,2,30.89,2,0,2,2.17,2,-999,9,-999,9,-999,9,2247.9,2,2361.1,2
           NA,    I09S,86,1,26,-99,2,19950102,403,-64.8583,110.8138,2655,406.6,0.8577,34.6978,2,34.703,2,210.6,2,207.6,2,101.48,2,30.84,2,0,2,2.17,2,-999,9,-999,9,-999,9,2249.3,2,2346.2,2
           NA,    I09S,86,1,25,-99,2,19950102,403,-64.8583,110.8138,2655,457,0.8433,34.7013,2,34.7042,2,209.2,2,207.6,2,103.84,2,30.83,2,0,2,2.17,2,-999,9,-999,9,-999,9,2251.2,2,2345.8,2
           NA,    I09S,86,1,24,-99,2,19950102,403,-64.8583,110.8138,2655,506.2,0.7817,34.6985,2,34.7024,2,211.2,2,208.8,2,104.93,2,30.88,2,0,2,2.17,2,-999,9,-999,9,-999,9,2250.8,2,2362.5,2
           NA,    I09S,86,1,23,-99,2,19950102,403,-64.8583,110.8138,2655,605.6,0.6957,34.696,2,34.7003,2,210.7,2,209.7,2,108.08,2,30.98,2,0,2,2.18,2,-999,9,-999,9,-999,9,2252.5,2,2359.9,2
           NA,    I09S,86,1,22,-99,2,19950102,403,-64.8583,110.8138,2655,705.6,0.6393,34.6962,2,34.7005,2,212,2,209.7,2,111.84,2,31.19,2,0,2,2.19,2,-999,9,-999,9,-999,9,2256.1,2,2352.6,2
           NA,    I09S,86,1,21,-99,2,19950102,403,-64.8583,110.8138,2655,807.9,0.5568,34.6923,2,34.694,2,210.9,2,211,2,114.04,2,31.29,2,0,2,2.2,2,-999,9,-999,9,-999,9,2255.1,2,2354.2,2
           NA,    I09S,86,1,20,-99,2,19950102,403,-64.8583,110.8138,2655,910.6,0.4638,34.6875,2,34.6916,2,212.1,2,212.8,2,115.31,2,31.23,2,0,2,2.2,2,-999,9,-999,9,-999,9,2255.7,2,2348.7,2
           NA,    I09S,86,1,19,-99,2,19950102,403,-64.8583,110.8138,2655,1012,0.3845,34.6845,2,34.6859,2,215.2,2,214.6,2,116.72,2,31.38,2,0,2,2.21,2,-999,9,-999,9,-999,9,2254.4,2,2363.3,2
           NA,    I09S,86,1,18,-99,2,19950102,403,-64.8583,110.8138,2655,1117.4,0.3005,34.68,2,-999,4,215.6,2,216.4,2,117.83,2,31.38,2,0,2,2.21,2,-999,9,-999,9,-999,9,2254.9,6,-999,9
           NA,    I09S,86,1,17,-99,2,19950102,403,-64.8583,110.8138,2655,1217.7,0.2607,34.6814,2,34.6848,2,214.5,2,216.8,2,119.88,2,31.48,2,0,2,2.22,2,-999,9,-999,9,-999,9,2258.2,2,2356.3,2
           NA,    I09S,86,1,16,-99,2,19950102,403,-64.8583,110.8138,2655,1322.6,0.2047,34.6783,2,34.6822,2,216.6,2,218.8,2,120.52,2,31.48,2,0,2,2.22,2,-999,9,-999,9,-999,9,2255.6,2,2354.5,2
           NA,    I09S,86,1,15,-99,2,19950102,403,-64.8583,110.8138,2655,1421.1,0.1463,34.6771,2,34.6812,2,220.6,2,220.3,2,121,2,31.47,2,0,2,2.22,2,-999,9,-999,9,-999,9,2253.6,2,-999,9
           NA,    I09S,86,1,14,-99,2,19950102,403,-64.8583,110.8138,2655,1524.6,0.0628,34.6714,2,34.6745,2,223.8,2,223.9,2,118.49,2,31.37,2,0,2,2.21,2,-999,9,-999,9,-999,9,2255.1,2,2357.3,2
           NA,    I09S,86,1,13,-99,2,19950102,403,-64.8583,110.8138,2655,1623,0.0316,34.6727,2,34.6761,2,226.2,2,224.7,2,119.6,2,31.41,2,0,2,2.21,2,-999,9,-999,9,-999,9,2252.1,2,2364.1,2
           NA,    I09S,86,1,12,-99,2,19950102,403,-64.8583,110.8138,2655,1728.1,0.0098,34.6744,2,34.6765,2,226.6,2,225.2,2,121.34,2,31.46,2,0,2,2.22,2,-999,9,-999,9,-999,9,2254.6,2,-999,9
           NA,    I09S,86,1,11,-99,2,19950102,403,-64.8583,110.8138,2655,1828.4,-0.0294,34.6735,2,34.6775,2,229.8,2,226.7,2,120.56,2,31.41,2,0,2,2.21,2,-999,9,-999,9,-999,9,2254.2,2,2364.4,2
           NA,    I09S,86,1,10,-99,2,19950102,403,-64.8583,110.8138,2655,1929.2,-0.0573,34.6723,2,-999,3,230.5,2,228.1,2,120.25,2,31.36,2,0,2,2.21,2,-999,9,-999,9,-999,9,2251.4,2,2363,2
           NA,    I09S,86,1,9,-99,2,19950102,403,-64.8583,110.8138,2655,2031.8,-0.1128,34.6698,2,34.6737,2,232.3,2,230.8,2,116.97,2,31.25,2,0,2,2.21,2,-999,9,-999,9,-999,9,2253.5,2,-999,9
           NA,    I09S,86,1,8,-99,2,19950102,403,-64.8583,110.8138,2655,2133.5,-0.14,34.6698,2,-999,4,235.8,2,232.3,2,115.73,2,31.19,2,0,2,2.2,2,-999,9,-999,9,-999,9,2250,2,2357.6,2
           NA,    I09S,86,1,7,-99,2,19950102,403,-64.8583,110.8138,2655,2235.7,-0.1679,34.6691,2,34.6716,2,235.4,2,233.7,2,114.32,2,31.19,2,0,2,2.2,2,-999,9,-999,9,-999,9,2250.3,2,2365,2
           NA,    I09S,86,1,6,-99,2,19950102,403,-64.8583,110.8138,2655,2337.4,-0.1937,34.6683,2,34.6706,2,238.5,2,235.3,2,112.44,2,31.19,2,0,2,2.2,2,-999,9,-999,9,-999,9,2250.2,2,2358.9,2
           NA,    I09S,86,1,5,-99,2,19950102,403,-64.8583,110.8138,2655,2418.1,-0.2111,34.6672,2,34.6694,2,239.3,2,236.1,2,111.51,2,31.13,2,0,2,2.2,2,-999,9,-999,9,-999,9,2250,2,-999,3
           NA,    I09S,86,1,4,-99,2,19950102,403,-64.8583,110.8138,2655,2519,-0.2319,34.6673,2,34.6698,2,242.2,2,236.9,2,110.89,2,31.13,2,0,2,2.2,2,-999,9,-999,9,-999,9,2251.5,2,-999,9
           NA,    I09S,86,1,3,-99,2,19950102,403,-64.8583,110.8138,2655,2589.4,-0.2339,34.6683,2,34.6702,2,240.3,2,237.2,2,111.06,2,31.12,2,0,2,2.2,2,-999,9,-999,9,-999,9,2252.4,2,2368.2,2
           NA,    I09S,86,1,1,-99,2,19950102,403,-64.8583,110.8138,2655,2639.9,-0.2306,34.6669,2,34.6718,2,239.5,2,237.5,2,111.12,2,31.15,2,0,2,2.19,2,-999,9,-999,9,-999,9,2249.6,6,-999,9
           NA,    I09S,86,1,2,-99,2,19950102,403,-64.8583,110.8138,2655,2640.1,-0.2309,34.6677,2,34.6708,2,241.6,2,237.5,2,111.07,2,31.17,2,0,2,2.2,2,-999,9,-999,9,-999,9,2251.1,2,2362.3,2
           NA,    I09S,85,1,35,-99,2,19950101,2224,-64.5112,111.3917,2920,29.7,-0.7081,33.8264,2,33.8306,2,346.3,2,337.9,2,65,2,27.02,2,0.2,2,1.95,2,6.17,6,2.893,6,-999,9,2169.1,6,-999,9
           NA,    I09S,85,1,34,-99,2,19950101,2224,-64.5112,111.3917,2920,55.1,-1.7218,34.326,2,34.3307,2,325.6,2,309.8,2,68.13,2,28.75,2,0.09,2,2.05,2,4.851,2,2.302,2,-999,9,2205.8,2,-999,9
           NA,    I09S,85,1,33,-99,2,19950101,2224,-64.5112,111.3917,2920,79.9,-1.7331,34.3784,2,34.3849,2,326.7,2,308.2,2,68.61,2,29.58,2,0.06,2,2.1,2,4.932,2,2.344,2,-999,9,2213,2,-999,3
           NA,    I09S,85,1,32,-99,2,19950101,2224,-64.5112,111.3917,2920,104.6,-1.6344,34.4121,2,34.4192,2,324.8,2,305.5,2,69.72,2,29.91,2,0.03,2,2.11,2,4.978,2,2.37,2,-999,9,2217.2,2,2326.2,2
