BOTTLE,20205829JOAExport
# Exported from JOA (5.4.0 Beta 1.0 October 2nd, 2017) on 2020/10/29 11:58:33
#BOTTLE,20131017PRINUNIVRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 10/28/2013 Initialized README file  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data source: CCHDO 10/17/13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SHIP: Aurora Australis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cruise: I09S ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Region: South of Australia on 117E ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# EXPOCODE: 09AR20120105 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATES: 1/5 - 2/12/2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Chief Scientist: S. Rintoul ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 88 stations with 24 place Rosette ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hydro: Who - S.Rintoul; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: 	 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Nuts: Who - S.Rintoul; Status - final  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: nitrate is really NO3+NO2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# O2: Who - S.Rintoul; Status - final ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TCO2: Who - ; Status - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#"# 	Notes:  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Other: CTD values for fluorescence, par and transmiss.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# References: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,,DB,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG
           NA,    I09S,      9,   1,      24,      24,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,      5.3,  -1.4735,  33.2725,2,  33.2803,2,    354.9,2,    355.5,2,     58.4,2,    24.93,2, -999.000,9,     1.66,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      20,      20,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,     20.0,  -1.4912,  33.3719,2,  33.3652,2,    351.4,2,    352.6,2,     59.1,2,    25.22,2, -999.000,9,     1.68,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      16,      16,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,     28.6,  -1.6212,  33.7749,2,  33.7439,2,    345.7,2,    337.6,2,     63.3,2,    26.62,2, -999.000,9,     1.81,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      15,      15,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,     49.8,  -1.7186,  34.1695,2,  34.1777,2,    306.2,2,    301.3,2,     70.0,2,    30.22,2, -999.000,9,     2.08,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      14,      14,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,     75.0,  -1.7412,  34.2066,2,  34.2054,2,    300.4,2,    303.2,2,     68.2,2,    30.16,2, -999.000,9,     2.08,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      13,      13,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,    100.9,  -1.7430,  34.2356,2,  34.2354,2,    300.5,2,    300.3,2,     66.3,2,    30.23,2, -999.000,9,     2.08,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      12,      12,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,    199.1,  -1.8062,  34.2762,2,  34.2762,2,    302.6,2,    302.8,2,     64.8,2,    30.69,2, -999.000,9,     2.10,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      11,      11,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,    299.6,  -1.7792,  34.3063,2,  34.3064,2,    306.7,2,    308.1,2,     63.8,2,    30.69,2, -999.000,9,     2.08,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
           NA,    I09S,      9,   1,      10,      10,  2,20120120,1311, -65.3832,  112.9050,   658,-999.0,    350.4,  -1.5175,  34.3467,2,  34.3468,2,    298.5,2,    296.8,2,     67.1,2,    30.98,2, -999.000,9,     2.12,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9
